Regarding ^in++++=Regarding
construct ^vb++++=construct
validity ^nn+nom+++=validity,
, ^zz++++=EXTRAWORD
the ^ati++++=the
exploratory ^jj+atrb+++=exploratory
factor ^nn++++=factor
analysis ^nn++++=analysis
indicated ^vbd+vprv++xvbn+=indicated
that ^tht+vcmp+++=that
the ^ati++++=the
20 ^cd++++=20
items ^nns++++=items
of ^in++++=of
the ^ati++++=the
scale ^nn++++=scale
loaded ^vbd+++xvbn+=loaded
onto ^in++++=onto
five ^cd++++=five
factors ^nns++++=factors,
, ^zz++++=EXTRAWORD
in ^in++++=in
contrast ^nn++++=contrast
to ^in++++=to
the ^ati++++=the
original ^nn+nom+++=original
study ^nn++++=study
by ^in++++=by
Balakrishnan ^np+nom++??+=Balakrishnan
and ^cc++++=and
Griffiths ^np++++=Griffiths
( ^zz++++=(2017),
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
identified ^vbd+++xvbn+=identified
six ^cd++++=six
factors ^nns++++=factors.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
discrepancy ^nn++++=discrepancy
may ^md+pos+++=may
be ^vb+be+vrb++=be
attributable ^jj+pred+++=attributable
to ^in++++=to
differences ^nns+nom+++=differences
in ^in++++=in
the ^ati++++=the
sample ^nn++++=sample
populations ^nns+nom+++=populations,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
original ^nn+nom+++=original
study ^nn++++=study
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
with ^in++++=with
college ^nn++++=college
students ^nns++++=students,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study
involved ^vbd+++xvbn+=involved
adolescents ^nns++++=adolescents.
. ^zz++++=EXTRAWORD
Previous ^jj+atrb+++=Previous
research ^nn++++=research
has ^vbz+hvz+aux++=has
shown ^vprf+++xvbnx+=shown
that ^tht+vcmp+++=that
adolescents ^nns++++=adolescents
tend ^vb++++=tend
to ^to+vcmp+++=to
be ^vbi++vrb++=be
more ^rbr++++=more
active ^jj+pred+++=active
in ^in++++=in
selfie ^nn+++??+=selfie
posting ^xvbg+++xvbg+=posting
compared ^vbd+++xvbn+=compared
to ^in++++=to
young ^jj+atrb+++=young
adults ^nns++++=adults
or ^cc++++=or
older ^jjr+atrb+++=older
individuals ^nns+nom+++=individuals,
, ^zz++++=EXTRAWORD
underscoring ^jj+++xvbg+=underscoring
the ^ati++++=the
importance ^nn+nom+++=importance
of ^in++++=of
examining ^xvbg+++xvbg+=examining
selfie ^nn+++??+=selfie-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
behaviors ^nns++++=behaviors
in ^in++++=in
this ^dt+dem+++=this
demographic ^jj++++=demographic
( ^zz++++=(Dhir
dhir ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
Baiocco ^np+++??+=Baiocco
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
cultural ^jj+atrb+++=cultural
differences ^nns+nom+++=differences
between ^in++++=between
Brazil ^np++++=Brazil
and ^cc++++=and
India ^np++++=India
may ^md+pos+++=may
have ^vb+hv+aux++=have
contributed ^vprf+++xvbnx+=contributed
to ^in++++=to
the ^ati++++=the
reduction ^nn+nom+++=reduction
in ^in++++=in
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
factors ^nns++++=factors
observed ^vbd+++xvbn+=observed
in ^in++++=in
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
version ^nn++++=version
of ^in++++=of
the ^ati++++=the
scale ^nn++++=scale.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
studies ^nns++++=studies
assessing ^vwbg+++xvbg+=assessing
the ^ati++++=the
psychometric ^jj+atrb+++=psychometric
properties ^nns++++=properties
of ^in++++=of
the ^ati++++=the
Sbs ^np+++??+=SBS
in ^in++++=in
countries ^nns++++=countries
such ^abl++++=such
as ^ql++++=as
Iran ^np+++??+=Iran
and ^cc++++=and
Afghanistan ^np+nom+++=Afghanistan
reported ^vbd+vpub++xvbn+=reported
the ^ati++++=the
retention ^nn+nom+++=retention
of ^in++++=of
six ^cd++++=six
factors ^nns++++=factors
with ^in++++=with
satisfactory ^jj+atrb+++=satisfactory
fit ^jj+atrb+++=fit
indices ^nns++++=indices
in ^in++++=in
confirmatory ^jj+atrb+++=confirmatory
factor ^nn++++=factor
analysis ^nn++++=analysis
( ^zz++++=(Lin
lin ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
Italian ^jj+atrb+++=Italian
version ^nn++++=version
of ^in++++=of
the ^ati++++=the
Sbs ^np+++??+=SBS,
, ^zz++++=EXTRAWORD
similar ^jj++++=similar
to ^in++++=to
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
version ^nn++++=version,
, ^zz++++=EXTRAWORD
also ^rb++++=also
yielded ^vbd+++xvbn+=yielded
a ^at++++=a
five ^cd++++=five-factor
- ^zz++++=EXTRAWORD
factor ^nn++++=EXTRAWORD
model ^nn++++=model
( ^zz++++=(Monacis
monacis ^nns+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study,
, ^zz++++=EXTRAWORD
the ^ati++++=the
" ^zz++++="mood
mood ^nn++++=EXTRAWORD
modification ^nn+nom+++=modification"
" ^zz++++=EXTRAWORD
and ^cc++++=and
" ^zz++++="self-confidence"
self ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
confidence ^nn+nom+++=EXTRAWORD
" ^zz++++=EXTRAWORD
factors ^nns++++=factors
were ^vbd+bed+aux++=were
combined ^vpsv++agls+xvbnx+=combined
into ^in++++=into
a ^at++++=a
single ^jj+atrb+++=single
factor ^nn++++=factor
labeled ^vbd+++xvbn+=labeled
" ^zz++++="mood
mood ^nn++++=EXTRAWORD
and ^cc++++=and
confidence ^nn+nom+++=confidence,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
which ^whp+who+++=which
demonstrated ^vpsv++agls+xvbn+=demonstrated
satisfactory ^jj+atrb+++=satisfactory
communalities ^nns+nom+++=communalities
( ^zz++++=(above
above ^jjb+atrb+++=EXTRAWORD
0.62 ^nn++++=0.62).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
