Given ^vbd+++xvbn+=Given
recent ^jj+atrb+++=recent
evidence ^nn+nom+++=evidence
on ^in++++=on
the ^ati++++=the
effectiveness ^nns+nom+++=effectiveness
of ^in++++=of
capital ^nn++++=capital
controls ^nns++++=controls,
, ^zz++++=EXTRAWORD
several ^ap++++=several
economists ^nns+nom+++=economists
have ^vb+hv+aux++=have
sought ^vprf+++xvbnx+=sought
to ^to++++=to
identify ^vbi++++=identify
the ^ati++++=the
categories ^nns++++=categories
of ^in++++=of
capital ^nn++++=capital
flows ^nns++++=flows
for ^in++++=for
which ^whp+rel+pied++=which
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
capital ^nn++++=capital
flow ^nn++++=flow
management ^nn+nom+++=management
measures ^nns++++=measures
( ^zz++++=(CFMs)
cfms ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
would ^md+prd+++=would
be ^vb+be+vrb++=be
theoretically ^rb++++=theoretically
desirable ^jj+pred+++=desirable.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
the ^ati++++=the
study ^nn++++=study
by ^in++++=by
Blanchard ^np++++=Blanchard
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2017)
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
notable ^jj+pred+++=notable
for ^in++++=for
its ^pp$+it+++=its
theoretical ^jj+atrb+++=theoretical
innovation ^nn+nom+++=innovation
within ^in++++=within
conventional ^jj+atrb+++=conventional
open ^jj+atrb+++=open
economy ^nn++++=economy
models ^nns++++=models.
. ^zz++++=EXTRAWORD
The ^ati++++=The
authors ^nns++++=authors
differentiate ^nn+nom+++=differentiate
capital ^nn++++=capital
flows ^vbz++++=flows
to ^to++++=to
emerging ^vbi++++=emerging
economies ^nns++++=economies
into ^in++++=into
two ^cd++++=two
categories ^nns++++=categories:
: ^zz++++=EXTRAWORD
bond ^np++++=bond
flows ^vbz++++=flows,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
include ^vb++++=include
debt ^nn++++=debt
securities ^nns+nom+++=securities,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
non ^&fw++++=non-bond
- ^zz++++=EXTRAWORD
bond ^np++++=EXTRAWORD
flows ^vbz++++=flows,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
primarily ^rb+down+++=primarily
consist ^nn+nom+++=consist
of ^in++++=of
equity ^nn++++=equity
instruments ^nns+nom+++=instruments
and ^cc++++=and
foreign ^jj+atrb+++=foreign
direct ^jj+atrb+++=direct
investment ^nn+nom+++=investment
( ^zz++++=(FDI).
fdi ^nn+++??+=EXTRAWORD
