Two ^cd++++=Two
additional ^jj+atrb+++=additional
Corifa ^np+++??+=CorIFA
Cia ^np+++??+=CIA
studies ^nns++++=studies
focused ^vbd+++xvbn+=focused
on ^in++++=on
verb ^nn++++=verb
usage ^nn++++=usage.
. ^zz++++=EXTRAWORD
Guedes ^np+++??+=Guedes
( ^zz++++=(2017)
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
examined ^vbd+++xvbn+=examined
the ^ati++++=the
most ^ql+emph+++=most
frequent ^jj+atrb+++=frequent
academic ^jj+atrb+++=academic
verbs ^nns++++=verbs
in ^in++++=in
argumentative ^jj+atrb+++=argumentative
essays ^nns++++=essays
from ^in++++=from
Corifa ^np+++??+=CorIFA,
, ^zz++++=EXTRAWORD
comparing ^vbg+++xvbg+=comparing
their ^pp$+pp3+++=their
usage ^nn++++=usage
to ^in++++=to
that ^dt+dem+++=that
in ^in++++=in
the ^ati++++=the
British ^jj++++=British
Academic ^jj+atrb+++=Academic
Written ^jj+atrb++xvbn+=Written
English ^jj+atrb+++=English
corpus ^nn++++=corpus
( ^zz++++=(BAWE).
bawe ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Nunes ^np+++??+=Nunes
and ^cc++++=and
Orfan ^np+++??+=Orfan
( ^zz++++=(2020)
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
analyzed ^jj+atrb++xvbn+=analyzed
verbs ^nns++++=verbs
in ^in++++=in
research ^nn++++=research
abstracts ^nns+++??+=abstracts,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
within ^in++++=within
the ^ati++++=the
system ^nn++++=system
of ^in++++=of
transitivity ^nn+nom+++=transitivity
in ^in++++=in
passive ^jj++++=passive
that ^cs+sub+++=that-clauses,
- ^zz++++=EXTRAWORD
clauses ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
contrasted ^vbd+++xvbn+=contrasted
the ^ati++++=the
learner ^nn++++=learner
corpus ^nn++++=corpus
results ^nns++++=results
with ^in++++=with
those ^dt+dem+++=those
from ^in++++=from
a ^at++++=a
Lingua ^np+++??+=Lingua
Franca ^np++++=Franca
Corpus ^nn++++=Corpus
composed ^vwbn+++xvbn+=composed
of ^in++++=of
abstracts ^nns+++??+=abstracts
from ^in++++=from
both ^abx++++=both
soft ^jj+atrb+++=soft
and ^cc+phrs+++=and
hard ^jj+atrb+++=hard
sciences ^nns+nom+++=sciences.
. ^zz++++=EXTRAWORD
Guedes ^np+++??+=Guedes
( ^zz++++=(2017)
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
found ^vprf+++xvbn+=found
that ^tht+vcmp+++=that
Corifa ^np+++??+=CorIFA
essays ^nns++++=essays
exhibited ^vbd+++xvbn+=exhibited
limited ^vbd+++xvbn+=limited
variation ^nn+nom+++=variation
in ^in++++=in
action ^nn++++=action
verbs ^nns++++=verbs
and ^cc++++=and
a ^at++++=a
low ^jj+atrb+++=low
frequency ^nn++++=frequency
of ^in++++=of
adverb ^nn++++=adverb
+ ^zz++++=+
verb ^nn++++=verb
collocations ^nns+nom+++=collocations
compared ^vbd+++xvbn+=compared
to ^in++++=to
Bawe ^np+++??+=BAWE,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv+tht0+xvbg+=indicating
Brazilian ^jj+atrb+++=Brazilian
learners ^nns+nom+++=learners
limited ^vbd+++xvbn+=limited
familiarity ^nn+nom+++=familiarity
with ^in++++=with
academic ^jj+atrb+++=academic
register ^nn+nom+++=register.
. ^zz++++=EXTRAWORD
Regarding ^in++++=Regarding
abstracts ^nns+++??+=abstracts,
, ^zz++++=EXTRAWORD
Nunes ^np+++??+=Nunes
and ^cc++++=and
Orfan ^np+++??+=Orfan
( ^zz++++=(2020)
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
that ^tht+vcmp+++=that
learners ^nns+nom+++=learners
tended ^vbd+++xvbn+=tended
to ^to+vcmp+++=to
use ^vbi++++=use
more ^rbr++++=more
mental ^jj+atrb+++=mental
verbs ^nns++++=verbs
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
conclude ^vb+vprv+++=conclude,
, ^zz++++=EXTRAWORD
verify ^vb+vpub+++=verify,
, ^zz++++=EXTRAWORD
assume ^vb+vprv+++=assume),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
expert ^jj+atrb+++=expert
writers ^nns+nom+++=writers
preferred ^vbd+++xvbn+=preferred
relational ^jj+atrb+++=relational
verbs ^nns++++=verbs
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
show ^vb+vprv+++=show,
, ^zz++++=EXTRAWORD
demonstrate ^nn+nom+++=demonstrate,
, ^zz++++=EXTRAWORD
reveal ^vb+vprv+++=reveal).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
learners ^nns+nom+++=learners
often ^rb++++=often
omitted ^vbd+++xvbn+=omitted
the ^ati++++=the
conscious ^jj+atrb+++=conscious
agent ^nn++++=agent,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
a ^at++++=a
more ^rbr++++=more
detached ^jj+atrb++xvbn+=detached
stance ^nn++++=stance
toward ^in++++=toward
their ^pp$+pp3+++=their
findings ^nns++++=findings,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
expert ^nn++++=expert
researchers ^nns+nom+++=researchers
demonstrated ^vbd+vprv++xvbn+=demonstrated
greater ^jjr+atrb+++=greater
engagement ^nn+nom+++=engagement
with ^in++++=with
their ^pp$+pp3+++=their
object ^nn++++=object
of ^in++++=of
study ^nn++++=study
and ^cc++++=and
displayed ^xvbn+++xvbn+=displayed
more ^rbr++++=more
intellectual ^jj+atrb+++=intellectual
authority ^nn+nom+++=authority.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
findings ^nns++++=findings
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
developing ^vbg+++xvbg+=developing
authorship ^nn+nom+++=authorship
is ^vbz+bez+vrb++=is
a ^at++++=a
skill ^nn++++=skill
that ^tht+rel+subj++=that
should ^md+nec+++=should
be ^vb+be+aux++=be
addressed ^vpsv++agls+xvbnx+=addressed
in ^in++++=in
English ^nn++++=English
for ^in++++=for
Academic ^jj+atrb+++=Academic
Purposes ^nns++++=Purposes
( ^zz++++=(EAP)
eap ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
instruction ^nn+nom+++=instruction,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
corpus ^nn++++=corpus-driven
- ^zz++++=EXTRAWORD
driven ^vbd+++xvbn+=EXTRAWORD
linguistic ^jj+atrb+++=linguistic
analyses ^nns++++=analyses
of ^in++++=of
verb ^nn++++=verb
variation ^nn+nom+++=variation
and ^cc++++=and
