Two ^cd++++=Two
of ^in++++=of
the ^ati++++=the
largest ^jjt+atrb+++=largest
learner ^nn++++=learner
corpora ^vb+++??+=corpora
compiled ^vbd+++xvbn+=compiled
in ^in++++=in
the ^ati++++=the
1990s ^cd+date+++=1990s,
, ^zz++++=EXTRAWORD
the ^ati++++=the
International ^jj+atrb+++=International
Corpus ^nn++++=Corpus
of ^in++++=of
Learner ^nn++++=Learner
English ^jj++++=English
( ^zz++++=(ICLE)
icle ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
Longman ^np+++??+=Longman
Learners ^nns+nom+++=Learners
Corpus ^nn++++=Corpus
( ^zz++++=(LLC),
llc ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
notable ^jj+pred+++=notable
for ^in++++=for
their ^pp$+pp3+++=their
approaches ^nns++++=approaches
to ^in++++=to
language ^nn+nom+++=language-,
- ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
task ^nn++++=task-,
- ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
learner ^nn++++=learner-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
features ^nns++++=features
( ^zz++++=(Granger,
granger ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1998 ^cd+date+++=1998;
; ^zz++++=EXTRAWORD
Tono ^np+++??+=Tono,
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
terms ^nns++++=terms
of ^in++++=of
language ^nn+nom+++=language-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
features ^nns++++=features,
, ^zz++++=EXTRAWORD
both ^abx++++=both
corpora ^nn+++??+=corpora
consist ^nn+nom+++=consist
of ^in++++=of
written ^xvbn+++xvbn+=written
texts ^nns++++=texts,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
differ ^vb++++=differ
slightly ^rb+down+++=slightly
in ^in++++=in
other ^ap++++=other
aspects ^nns++++=aspects:
: ^zz++++=EXTRAWORD
Icle ^np+++??+=ICLE
primarily ^rb+down+++=primarily
contains ^vbz++++=contains
argumentative ^jj+atrb+++=argumentative
essays ^nns++++=essays
on ^in++++=on
a ^at++++=a
predetermined ^nn++++=predetermined
set ^vbd+++xvbn+=set
of ^in++++=of
topics ^nns++++=topics,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Llc ^np+++??+=LLC
includes ^vb++++=includes
both ^abx++++=both
essays ^nns++++=essays
and ^cc++++=and
exam ^nn++++=exam
scripts ^nns++++=scripts
on ^in++++=on
a ^at++++=a
wider ^jjr+atrb+++=wider
range ^nn++++=range
of ^in++++=of
topics ^nns++++=topics.
. ^zz++++=EXTRAWORD
Task ^nn++++=Task-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
characteristics ^nns++++=characteristics
include ^vb++++=include
( ^zz++++=(a)
a ^at++++=EXTRAWORD
) ^zz++++=EXTRAWORD
data ^nns++++=data
collection ^nn+nom+++=collection,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
sectional ^jj+pred+++=sectional
rather ^rb++++=rather
than ^in++++=than
longitudinal ^jj++++=longitudinal;
; ^zz++++=EXTRAWORD
( ^zz++++=(b)
b ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
type ^nn++++=type
of ^in++++=of
elicitation ^nn+nom+++=elicitation,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
preference ^nn+nom+++=preference
for ^in++++=for
spontaneous ^nn++++=spontaneous
over ^in++++=over
prepared ^vbd+++xvbn+=prepared
or ^cc+phrs+++=or
edited ^vbd+++xvbn+=edited
texts ^nns++++=texts;
; ^zz++++=EXTRAWORD
( ^zz++++=(c)
c ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
production ^nn+nom+++=production
time ^nn++++=time,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
be ^vb+be+aux++=be
fixed ^vpsv++agls+xvbnx+=fixed,
, ^zz++++=EXTRAWORD
timed ^xvbn+++xvbn+=timed,
, ^zz++++=EXTRAWORD
untimed ^j+++xvbn+=untimed,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
completed ^vwbn+++xvbn+=completed
as ^ql++++=as
homework ^nn++++=homework;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(d)
d ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
reference ^nn+nom+++=reference
materials ^nns+nom+++=materials,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
dictionaries ^nns++++=dictionaries,
, ^zz++++=EXTRAWORD
with ^in++++=with
such ^abl++++=such
usage ^nn++++=usage
systematically ^rb++++=systematically
recorded ^jj+++xvbn+=recorded.
. ^zz++++=EXTRAWORD
Regarding ^in++++=Regarding
learner ^nn++++=learner-related
- ^zz++++=EXTRAWORD
related ^xvbn+++xvbn+=EXTRAWORD
features ^nns++++=features,
, ^zz++++=EXTRAWORD
Icle ^np+++??+=ICLE
comprises ^vbz++++=comprises
texts ^nns++++=texts
produced ^vwbn+++xvbn+=produced
by ^in++++=by
university ^npl+nom+++=university-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
students ^nns++++=students,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
Llc ^np+++??+=LLC
includes ^vb++++=includes
contributions ^nns+nom+++=contributions
from ^in++++=from
learners ^nns+nom+++=learners
at ^in++++=at
various ^jj+atrb+++=various
academic ^jj+atrb+++=academic
levels ^nns++++=levels.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
corpora ^nn+++??+=corpora
contain ^vb++++=contain
texts ^nns++++=texts
written ^vwbn+++xvbn+=written
by ^in++++=by
learners ^nns+nom+++=learners
from ^in++++=from
diverse ^jj++++=diverse
first ^od++++=first
language ^nn+nom+++=language
backgrounds ^nns++++=backgrounds.
. ^zz++++=EXTRAWORD
Icle ^np+++??+=ICLE
focuses ^vbz++++=focuses
on ^in++++=on
high ^jj++++=high-intermediate
- ^zz++++=EXTRAWORD
intermediate ^jj++++=EXTRAWORD
to ^to++++=to
advanced ^vbi+vsua++xvbn+=advanced
proficiency ^nn++++=proficiency
levels ^nns++++=levels,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Llc ^np+++??+=LLC
accepts ^vbz++++=accepts
texts ^nns++++=texts
from ^in++++=from
all ^abn++++=all
proficiency ^nn++++=proficiency
levels ^nns++++=levels.
. ^zz++++=EXTRAWORD
Icle ^np+++??+=ICLE
was ^vbd+bedz+vrb++=was
the ^ati++++=the
first ^rb++++=first
