Among ^in++++=Among
the ^ati++++=the
families ^nns++++=families
with ^in++++=with
the ^ati++++=the
greatest ^jjt+atrb+++=greatest
species ^nns++++=species
diversity ^nn+nom+++=diversity
is ^vbz+bez+vrb++=is
Urticaceae ^np+++??+=Urticaceae,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
represented ^vpsv++agls+xvbnx+=represented
in ^in++++=in
Brazil ^np++++=Brazil
by ^in++++=by
14 ^cd++++=14
genera ^nns++++=genera
and ^cc++++=and
approximately ^rb+down+++=approximately
116 ^cd++++=116
species ^nn++++=species
( ^zz++++=(Gaglioti
gaglioti ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Species ^nns++++=Species
within ^in++++=within
this ^dt+dem+++=this
family ^nn++++=family
are ^vb+ber+aux++=are
characterized ^vpsv++by+xvbnx+=characterized
by ^in++++=by
rapid ^jj+atrb+++=rapid
growth ^nn++++=growth
rates ^nns++++=rates,
, ^zz++++=EXTRAWORD
short ^jj+atrb+++=short
life ^nn++++=life
cycles ^nns++++=cycles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
typically ^rb++++=typically
attain ^vb++++=attain
small ^jj++++=small
to ^in++++=to
medium ^jjb+atrb+++=medium
sizes ^nns++++=sizes
( ^zz++++=(Parrota
parrota ^nn+++??+=EXTRAWORD
1995 ^cd+date+++=1995).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
Urticaceae ^np+++??+=Urticaceae
species ^nn++++=species
require ^vb+vsua+++=require
exposure ^nn++++=exposure
to ^in++++=to
sunlight ^nn++++=sunlight
for ^in++++=for
development ^nn+nom+++=development
( ^zz++++=(Godoi
godoi ^nn+++??+=EXTRAWORD
& ^zz++++=&
Tanaki ^np+++??+=Tanaki
2005 ^cd++++=2005),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
consequently ^rb+cnj+++=consequently,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
commonly ^rb++splt++=commonly
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
forest ^nn++++=forest
edge ^nn++++=edge
environments ^nns+nom+++=environments
and ^cc++++=and
clearings ^nns+++??+=clearings
within ^in++++=within
forest ^nn++++=forest
interiors ^nns++++=interiors,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
light ^jj+atrb+++=light
availability ^nn+nom+++=availability
is ^vbz+bez+vrb++=is
higher ^jjr+pred+++=higher.
. ^zz++++=EXTRAWORD
In ^in++++=In
both ^abx++++=both
primary ^jj++++=primary
and ^cc+phrs+++=and
secondary ^jj+atrb+++=secondary
tropical ^jj+atrb+++=tropical
forest ^nn++++=forest
soils ^nns++++=soils,
, ^zz++++=EXTRAWORD
seeds ^nns++++=seeds
from ^in++++=from
this ^dt+dem+++=this
family ^nn++++=family,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
those ^dt+dem+++=those
of ^in++++=of
Cecropia ^np+++??+=Cecropia
spp ^nn+++??+=spp.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
frequently ^rb++++=frequently
abundant ^jj+pred+++=abundant
( ^zz++++=(Lobova
lobova ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2003 ^cd++++=2003).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
