Given ^vbd+++xvbn+=Given
the ^ati++++=the
ad ^&fw++++=ad
hoc ^jj"+atrb+++=hoc
nature ^nn++++=nature
of ^in++++=of
neighborhood ^nn+nom+++=neighborhood
composition ^nn+nom+++=composition,
, ^zz++++=EXTRAWORD
various ^jj+atrb+++=various
weighting ^jj+atrb++xvbg+=weighting
matrices ^nns++++=matrices
are ^vb+ber+aux++=are
employed ^vpsv++agls+xvbnx+=employed
in ^in++++=in
this ^dt+dem+++=this
analysis ^nn++++=analysis.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
binary ^jj+atrb+++=binary
contiguity ^nn+nom+++=contiguity
matrices ^nns++++=matrices
( ^zz++++=(queen
queen ^npt++++=EXTRAWORD
and ^cc++++=and
rook ^nn+++??+=rook),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
distance ^nn+nom+++=distance-based
- ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=EXTRAWORD
matrices ^nns++++=matrices,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
k ^zz++++=k-nearest
- ^zz++++=EXTRAWORD
nearest ^jjt+atrb+++=EXTRAWORD
neighbor ^nn++++=neighbor
matrices ^nns++++=matrices
are ^vb+ber+aux++=are
utilized ^vpsv++agls+xvbnx+=utilized.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
contiguity ^nn+nom+++=contiguity
matrices ^nns++++=matrices,
, ^zz++++=EXTRAWORD
the ^ati++++=the
element ^nn+nom+++=element
\ ^zz++++=\(
( ^zz++++=EXTRAWORD
w_{ij ^nn+++??+=w_{ij}
} ^zz++++=EXTRAWORD
\ ^zz++++=\)
) ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
assigned ^vpsv++agls+xvbnx+=assigned
a ^at++++=a
value ^nn++++=value
of ^in++++=of
1 ^zz++++=1
if ^cs+cnd+++=if
units ^nns++++=units
\ ^zz++++=\(
( ^zz++++=EXTRAWORD
i ^pp1a+pp1+++=i
\ ^zz++++=\)
) ^zz++++=EXTRAWORD
and ^cc++++=and
\ ^zz++++=\(
( ^zz++++=EXTRAWORD
j ^zz++++=j
\ ^zz++++=\)
) ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
contiguous ^jj+pred+++=contiguous,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
0 ^zz++++=0
otherwise ^rb+cnj+++=otherwise.
. ^zz++++=EXTRAWORD
The ^ati++++=The
distance ^nn+nom+++=distance-based
- ^zz++++=EXTRAWORD
based ^vbd+++xvbn+=EXTRAWORD
weight ^nn++++=weight
matrix ^nn++++=matrix
is ^vbz+bez+aux++=is
constructed ^vpsv++agls+xvbnx+=constructed
using ^vbg+++xvbg+=using
the ^ati++++=the
Euclidean ^jj+atrb+++=Euclidean
distances ^nns+nom+++=distances
between ^in++++=between
the ^ati++++=the
centroids ^nns+++??+=centroids
of ^in++++=of
the ^ati++++=the
tracts ^nns++++=tracts,
, ^zz++++=EXTRAWORD
such ^abl++++=such
that ^dt+dem+++=that
\ ^zz++++=\(
( ^zz++++=EXTRAWORD
w_{ij ^nn+++??+=w_{ij}
} ^zz++++=EXTRAWORD
\leq ^nn+++??+=\leq
d_{ij ^nn+++??+=d_{ij}
} ^zz++++=EXTRAWORD
\ ^zz++++=\).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
To ^in++++=To
address ^nns+nom+++=address
the ^ati++++=the
potential ^jj+atrb+++=potential
issue ^nn++++=issue
of ^in++++=of
isolated ^xvbn+++xvbn+=isolated
units ^nns++++=units
in ^in++++=in
the ^ati++++=the
econometric ^jj+atrb+++=econometric
estimation ^nn+nom+++=estimation,
, ^zz++++=EXTRAWORD
a ^at++++=a
maximum ^jj+atrb+++=maximum
distance ^nn+nom+++=distance
threshold ^nn++++=threshold
of ^in++++=of
8 ^zz++++=8
km ^nnu++++=km
is ^vbz+bez+aux++=is
imposed ^vpsv++agls+xvbnx+=imposed
to ^to++++=to
ensure ^vbi+vprv+++=ensure
that ^tht+vcmp+++=that
each ^dt++++=each
unit ^nn++++=unit
has ^vbz+hvz+vrb++=has
at ^rb++++=at
least ^rb"++++=least
one ^cd1++++=one
neighbor ^nn++++=neighbor.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
k ^zz++++=k-nearest
- ^zz++++=EXTRAWORD
nearest ^jjt+atrb+++=EXTRAWORD
neighbor ^nn++++=neighbor
matrix ^nn++++=matrix,
, ^zz++++=EXTRAWORD
six ^cd++++=six
neighbors ^nns++++=neighbors
are ^vb+ber+aux++=are
selected ^vpsv++agls+xvbnx+=selected
for ^in++++=for
each ^dt++++=each
unit ^nn++++=unit,
, ^zz++++=EXTRAWORD
corresponding ^jj+++xvbg+=corresponding
to ^in++++=to
the ^ati++++=the
average ^jj+atrb+++=average
number ^nn++++=number
of ^in++++=of
neighbors ^nns++++=neighbors
observed ^jj++++=observed
in ^in++++=in
the ^ati++++=the
dataset ^nn++++=dataset.
. ^zz++++=EXTRAWORD
