Intracellular ^np+++??+=Intracellular
ice ^nn++++=ice
crystal ^nn++++=crystal
formation ^nn+nom+++=formation
represents ^vbz++++=represents
the ^ati++++=the
most ^ql+emph+++=most
detrimental ^jj+atrb+++=detrimental
event ^nn++++=event
during ^in++++=during
cryopreservation ^nn+nom+++=cryopreservation,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
resulting ^jj+atrb++xvbg+=resulting
damage ^nn++++=damage
is ^vbz+bez+vrb++=is
irreversible ^jj+pred+++=irreversible.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
phenomenon ^nn++++=phenomenon
can ^md+pos+++=can
occur ^vb++++=occur
during ^in++++=during
either ^dtx++++=either
the ^ati++++=the
freezing ^nn++++=freezing
or ^cc++++=or
thawing ^jj+atrb++xvbg+=thawing
phases ^nns++++=phases
and ^cc++++=and
may ^md+pos+++=may
result ^vb++++=result
in ^in++++=in
cell ^nn++++=cell
wall ^nn++++=wall
rupture ^nn++++=rupture,
, ^zz++++=EXTRAWORD
epidermal ^jj+atrb+++=epidermal
rupture ^nn++++=rupture,
, ^zz++++=EXTRAWORD
protoplast ^nn+++??+=protoplast
leakage ^nn+nom+++=leakage,
, ^zz++++=EXTRAWORD
abnormal ^jj+atrb+++=abnormal
nuclei ^nns++++=nuclei
in ^in++++=in
surviving ^xvbg+++xvbg+=surviving
explants ^nns+nom+++=explants,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
explant ^jj+atrb+++=explant
death ^nn++++=death
( ^zz++++=(Kaviani
kaviani ^nn+++??+=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Anatomical ^jj+atrb+++=Anatomical
investigations ^nns+nom+++=investigations,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
those ^dt+dem+++=those
conducted ^vpsv++by+xvbn+=conducted
by ^in++++=by
Wesley ^np++++=Wesley-Smith
- ^zz++++=EXTRAWORD
smith ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2014,
2014 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
highlight ^nn++++=highlight
the ^ati++++=the
significance ^nn+nom+++=significance
of ^in++++=of
understanding ^xvbg+++xvbg+=understanding
the ^ati++++=the
relationship ^nn+nom+++=relationship
between ^in++++=between
water ^nn++++=water
content ^nn++++=content
and ^cc++++=and
ice ^nn++++=ice
structure ^nn++++=structure
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
optimize ^vb++++=optimize
cryogenic ^jj+atrb+++=cryogenic
protocols ^nns++++=protocols
and ^cc++++=and
enhance ^nn+nom+++=enhance
cell ^nn++++=cell
survival ^nn+nom+++=survival,
, ^zz++++=EXTRAWORD
given ^vpbn+v++xvbn+=given
that ^dt+dem+++=that
both ^abx++++=both
ice ^nn++++=ice
crystal ^nn++++=crystal
size ^nn++++=size
and ^cc++++=and
the ^ati++++=the
extent ^nn++++=extent
of ^in++++=of
cellular ^jj+atrb+++=cellular
damage ^nn++++=damage
can ^md+pos+++=can
have ^vb+hv+aux++=have
delayed ^xvbn+++xvbn+=delayed
effects ^nns++++=effects
on ^in++++=on
cell ^nn++++=cell
viability ^nn+nom+++=viability.
. ^zz++++=EXTRAWORD
