Mainstream ^np+++??+=Mainstream
media ^nn++++=media,
, ^zz++++=EXTRAWORD
policymakers ^nns+nom+++=policymakers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
general ^jj++++=general
public ^jj++++=public
have ^vb+hv+aux++=have
demonstrated ^vprf+++xvbnx+=demonstrated
increased ^vprf+++xvbn+=increased
interest ^nn++++=interest
in ^in++++=in
understanding ^xvbg+++xvbg+=understanding
and ^cc++++=and
engaging ^xvbg+++xvbg+=engaging
with ^in++++=with
science ^nn+nom+++=science
to ^to++++=to
inform ^vbi++++=inform
decision ^nn++++=decision-making
- ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=EXTRAWORD
and ^cc+phrs+++=and
reduce ^vb++++=reduce
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
transmission ^nn++++=transmission.
. ^zz++++=EXTRAWORD
Since ^in++++=Since
the ^ati++++=the
onset ^nn++++=onset
of ^in++++=of
the ^ati++++=the
pandemic ^nn++++=pandemic,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
widespread ^jj+atrb+++=widespread
recognition ^nn+nom+++=recognition
and ^cc++++=and
appreciation ^nn+nom+++=appreciation
for ^in++++=for
the ^ati++++=the
efforts ^nns++++=efforts
of ^in++++=of
healthcare ^nn+++??+=healthcare
professionals ^nns+nom+++=professionals
and ^cc++++=and
the ^ati++++=the
scientific ^jj+atrb+++=scientific
community ^nn+nom+++=community
in ^in++++=in
addressing ^xvbg+++xvbg+=addressing
the ^ati++++=the
health ^nn++++=health
crisis ^nn++++=crisis
( ^zz++++=(6).
6 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Major ^jj+atrb+++=Major
events ^nns++++=events
such ^abl++++=such
as ^ql++++=as
pandemics ^nns++++=pandemics
can ^md+pos+++=can
significantly ^rb++splt++=significantly
influence ^nn+nom+++=influence
the ^ati++++=the
attitudes ^nns++++=attitudes
of ^in++++=of
young ^jj+atrb+++=young
adults ^nns++++=adults
( ^zz++++=(7).
7 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Historical ^jj+atrb+++=Historical
precedents ^nns++++=precedents,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
1969 ^cd+date+++=1969
Moon ^np++++=Moon
landing ^vwbg+++xvbg+=landing,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
shown ^vprf+++xvbnx+=shown
that ^tht+vcmp+++=that
transformative ^jj+atrb+++=transformative
events ^nns++++=events
can ^md+pos+++=can
motivate ^nn+nom+++=motivate
younger ^jjr+atrb+++=younger
generations ^nns+nom+++=generations
to ^to++++=to
pursue ^vbi++++=pursue
scientific ^jj+atrb+++=scientific
careers ^nns+nom+++=careers
( ^zz++++=(4).
4 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Similarly ^rb+cnj+++=Similarly,
, ^zz++++=EXTRAWORD
since ^in++++=since
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn++++=pandemic,
, ^zz++++=EXTRAWORD
multiple ^jj+atrb+++=multiple
countries ^nns++++=countries
and ^cc++++=and
organizations ^nns+nom+++=organizations
have ^vb+hv+aux++=have
reported ^vprf+++xvbnx+=reported
increased ^vprf+++xvbn+=increased
public ^jj+atrb+++=public
confidence ^nn+nom+++=confidence
in ^in++++=in
science ^nn+nom+++=science
and ^cc++++=and
a ^at++++=a
rise ^nn++++=rise
in ^in++++=in
applications ^nns+nom+++=applications
to ^in++++=to
scientific ^jj+atrb+++=scientific
and ^cc+phrs+++=and
medical ^jj+atrb+++=medical
programs ^nns+++??+=programs,
, ^zz++++=EXTRAWORD
a ^at++++=a
phenomenon ^nn++++=phenomenon
referred ^vbd+++xvbn+=referred
to ^in++++=to
as ^ql++++=as
the ^ati++++=the
Fauci ^np+++??+=Fauci
effect ^nn++++=effect
( ^zz++++=(8,
8 ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
9 ^zz++++=9,
, ^zz++++=EXTRAWORD
10 ^cd++++=10,
, ^zz++++=EXTRAWORD
11 ^cd++++=11,
, ^zz++++=EXTRAWORD
12 ^cd++++=12).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
