To ^in++++=To
address ^nns+nom+++=address
topics ^nns++++=topics
1 ^zz++++=1
and ^cc++++=and
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
concern ^nn++++=concern
changes ^nns++++=changes
in ^in++++=in
perception ^nn+nom+++=perception
and ^cc++++=and
interest ^nn++++=interest
regarding ^in++++=regarding
science ^nn+nom+++=science,
, ^zz++++=EXTRAWORD
scientists ^nns+nom+++=scientists,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
health ^nn++++=health
professionals ^nns+nom+++=professionals,
, ^zz++++=EXTRAWORD
an ^at++++=an
anonymous ^jj++++=anonymous
quantitative ^jj++++=quantitative
multiple ^jj++++=multiple-choice
- ^zz++++=EXTRAWORD
choice ^nn++++=EXTRAWORD
online ^nn+++??+=online
survey ^vb++++=survey
in ^in++++=in
Spanish ^jj++++=Spanish
was ^vbd+bedz+aux++=was
administered ^vpsv++agls+xvbnx+=administered
to ^in++++=to
a ^at++++=a
voluntary ^jj+atrb+++=voluntary
national ^jj+atrb+++=national
sample ^nn++++=sample
of ^in++++=of
individuals ^nns+nom+++=individuals
aged ^jj++++=aged
14 ^cd++++=14
to ^to++++=to
19 ^cd++++=19
with ^in++++=with
Internet ^np+++??+=Internet
access ^nn++++=access
in ^in++++=in
Mexico ^np++++=Mexico
Between ^in++++=between
May ^md+pos+++=May
 ^zz++++=5
And ^cc++++=and
June ^nr++++=June
7 ^cd++++=27,
 ^zz++++=EXTRAWORD
021 ^cd++++=2021.
 ^zz++++=EXTRAWORD
