Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
Geastrum ^np+++??+=Geastrum
minimum ^nn++++=minimum
is ^vbz+bez+aux++=is
generally ^rb+down+splt++=generally
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
a ^at++++=a
single ^jj++++=single,
, ^zz++++=EXTRAWORD
morphologically ^rb++++=morphologically
variable ^jj+atrb+++=variable
species ^nns++++=species.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
typically ^rb++splt++=typically
characterized ^vpsv++by+xvbnx+=characterized
by ^in++++=by
its ^pp$+it+++=its
small ^jj+atrb+++=small
size ^nn++++=size
and ^cc++++=and
the ^ati++++=the
frequent ^jj+atrb+++=frequent
presence ^nn+nom+++=presence
of ^in++++=of
relatively ^rb++++=relatively
large ^jj+atrb+++=large
calcium ^nn++++=calcium
oxalate ^nn+nom+++=oxalate
crystals ^nns+nom+++=crystals
on ^in++++=on
the ^ati++++=the
endoperidial ^jj+atrb+++=endoperidial
surface ^nn++++=surface
( ^zz++++=(Zamora
zamora ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
