Data ^nns++++=Data
analysis ^nn++++=analysis
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
to ^to++++=to
assess ^vbi++++=assess
sampling ^nn+nom+++=sampling
sufficiency ^nn++++=sufficiency
and ^cc++++=and
estimate ^nn+nom+++=estimate
potential ^jj+atrb+++=potential
species ^nns++++=species
richness ^nns+nom+++=richness
using ^vwbg+++xvbg+=using
the ^ati++++=the
following ^jj+atrb++xvbg+=following
estimators ^nns++++=estimators:
: ^zz++++=EXTRAWORD
Bootstrap ^np+++??+=Bootstrap,
, ^zz++++=EXTRAWORD
Jackknife ^np+++??+=Jackknife
1 ^zz++++=1,
, ^zz++++=EXTRAWORD
Jackknife ^np+++??+=Jackknife
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
Chao ^np+++??+=Chao
1 ^zz++++=1,
, ^zz++++=EXTRAWORD
Chao ^np+++??+=Chao
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Ice ^nn++++=ICE.
. ^zz++++=EXTRAWORD
All ^abn++++=All
calculations ^nns+nom+++=calculations
were ^vbd+bed+aux++=were
performed ^vpsv++agls+xvbnx+=performed
with ^in++++=with
Estimates ^nns+nom+++=EstimateS
9.1 ^cd++++=9.1
( ^zz++++=(Colwell
colwell ^nn+++??+=EXTRAWORD
2013 ^cd++++=2013).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Estimator ^np+++??+=Estimator
curves ^nns++++=curves
were ^vbd+bed+aux++=were
plotted ^vpsv++agls+xvbnx+=plotted
alongside ^rb++++=alongside
observed ^vbn+vprv++xvbn+=observed
species ^nns++++=species
accumulation ^nn+nom+++=accumulation
curves ^nns++++=curves.
. ^zz++++=EXTRAWORD
For ^in++++=For
these ^dt+dem+++=these
analyses ^nns++++=analyses,
, ^zz++++=EXTRAWORD
all ^abn++++=all
treatments ^nns+nom+++=treatments
were ^vbd+bed+aux++=were
pooled ^vpsv++agls+xvbnx+=pooled,
, ^zz++++=EXTRAWORD
with ^in++++=with
each ^dt++++=each
sample ^nn++++=sample
representing ^vwbg+++xvbg+=representing
the ^ati++++=the
total ^jj+atrb+++=total
number ^nn++++=number
of ^in++++=of
spiders ^nns+nom+++=spiders
collected ^vwbn+++xvbn+=collected
monthly ^jj+atrb+++=monthly
per ^nnu++++=per
treatment ^nn+nom+++=treatment.
. ^zz++++=EXTRAWORD
To ^to++++=To
determine ^vbi++++=determine
whether ^cs+who+++=whether
significant ^jj+atrb+++=significant
differences ^nns+nom+++=differences
existed ^vbd+++xvbn+=existed
in ^in++++=in
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
individuals ^nns+nom+++=individuals
collected ^vwbn+++xvbn+=collected
among ^in++++=among
treatments ^nns+nom+++=treatments,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Shapiro ^np+++??+=Shapiro-Wilk
- ^zz++++=EXTRAWORD
wilk ^nn+++??+=EXTRAWORD
test ^nn++++=test
for ^in++++=for
normality ^nn+nom+++=normality,
, ^zz++++=EXTRAWORD
Levene ^np+++??+=Levene
s ^zz++++=s
test ^nn++++=test
for ^in++++=for
homogeneity ^nn+nom+++=homogeneity
of ^in++++=of
variances ^nns+nom+++=variances,
, ^zz++++=EXTRAWORD
Anova ^np+++??+=ANOVA,
, ^zz++++=EXTRAWORD
post ^nn++++=post-hoc
- ^zz++++=EXTRAWORD
hoc ^jj"++++=EXTRAWORD
Tukey ^np+++??+=Tukey
Hsd ^np+++??+=HSD
test ^nn++++=test,
, ^zz++++=EXTRAWORD
Kruskal ^np+++??+=Kruskal-Wallis
- ^zz++++=EXTRAWORD
wallis ^np++++=EXTRAWORD
test ^nn++++=test,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
post ^nn++++=post-hoc
- ^zz++++=EXTRAWORD
hoc ^jj"++++=EXTRAWORD
Dunn ^np+++??+=Dunn
s ^zz++++=s
test ^nn++++=test
were ^vbd+bed+aux++=were
applied ^vpsv++agls+xvbnx+=applied
using ^vbg+++xvbg+=using
R ^zz++++=R
( ^zz++++=(R
r ^zz++++=EXTRAWORD
Development ^nn+nom+++=Development
Core ^nn++++=Core
Team ^nn++++=Team
2009 ^cd++++=2009);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
non ^&fw++++=non-informative
- ^zz++++=EXTRAWORD
informative ^jj+atrb+++=EXTRAWORD
results ^nns++++=results
were ^vbd+bed+aux++=were
not ^xnot++not++=not
discussed ^vbd+++xvbn+=discussed.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Simpson ^np++++=Simpson
Diversity ^nn+nom+++=Diversity
t ^zz++++=t-test
- ^zz++++=EXTRAWORD
test ^nn++++=EXTRAWORD
( ^zz++++=(significance
significance ^nn+nom+++=EXTRAWORD
threshold ^nn++++=threshold
p ^zz++++=p
< ^zz++++=<
0.05 ^nn+++??+=0.05)
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
using ^vbg+++xvbg+=using
Past ^jjb++++=Past
2.1 ^cd++++=2.1
( ^zz++++=(Hammer
hammer ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
