Given ^vbd+++xvbn+=Given
the ^ati++++=the
documented ^jj+atrb++xvbn+=documented
correlation ^nn+nom+++=correlation
between ^in++++=between
water ^nn++++=water
quality ^nn+nom+++=quality
and ^cc++++=and
helminth ^nn+++??+=helminth
infections ^nns+nom+++=infections
in ^in++++=in
fish ^nns++++=fish
species ^nns++++=species
such ^abl++++=such
as ^ql++++=as
Cyprinids ^np+++??+=Cyprinids
( ^zz++++=(Zargar
zargar ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
observed ^jj+atrb++xvbn+=observed
overdispersion ^nn+++??+=overdispersion
of ^in++++=of
Bagrobdella ^np+++??+=Bagrobdella
vanhovei ^nn+++??+=vanhovei
and ^cc++++=and
the ^ati++++=the
absence ^nn+nom+++=absence
of ^in++++=of
B ^zz++++=B.
. ^zz++++=EXTRAWORD
vansteenbergei ^nn+++??+=vansteenbergei
in ^in++++=in
the ^ati++++=the
six ^cd++++=six
host ^nn++++=host
individuals ^nns+nom+++=individuals
collected ^vwbn+++xvbn+=collected
near ^in+pl+++=near
the ^ati++++=the
Orthodox ^jj+atrb+++=Orthodox
Church ^nn++++=Church
of ^in++++=of
Uvira ^np+++??+=Uvira
may ^md+pos+++=may
be ^vb+be+vrb++=be
attributable ^jj+pred+++=attributable
to ^in++++=to
differences ^nns+nom+++=differences
in ^in++++=in
water ^nn++++=water
quality ^nn+nom+++=quality
between ^in++++=between
the ^ati++++=the
two ^cd++++=two
sampling ^nn+nom+++=sampling
sites ^nns++++=sites.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
therefore ^rb+cnj+++=therefore
possible ^jj+pred+++=possible
that ^tht+jcmp+++=that
Bagrobdella ^np+++??+=Bagrobdella
vansteenbergei ^nn+++??+=vansteenbergei
is ^vbz+bez+aux++=is
specifically ^rb++splt++=specifically
adapted ^vpsv++agls+xvbnx+=adapted
to ^in++++=to
the ^ati++++=the
environmental ^jj+atrb+++=environmental
conditions ^nns+nom+++=conditions
present ^vb++++=present
at ^rb++++=at
the ^ati++++=the
Mouth ^nn++++=Mouth
of ^in++++=of
the ^ati++++=the
Mutambala ^np+++??+=Mutambala
River ^nn++++=River,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
Bagrobdella ^np+++??+=Bagrobdella
vanhovei ^nn+++??+=vanhovei
may ^md+pos+++=may
exhibit ^vb++++=exhibit
greater ^jjr+atrb+++=greater
tolerance ^nn+nom+++=tolerance
to ^in++++=to
variations ^nns+nom+++=variations
in ^in++++=in
abiotic ^jj+atrb+++=abiotic
factors ^nns++++=factors.
. ^zz++++=EXTRAWORD
