Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
can ^md+pos+++=can
be ^vb+be+aux++=be
readily ^rb++splt++=readily
identified ^vpsv++by+xvbnx+=identified
by ^in++++=by
its ^pp$+it+++=its
hirsute ^nn+++??+=hirsute
exoperidium ^nn+++??+=exoperidium
and ^cc++++=and
a ^at++++=a
shiny ^jj++++=shiny,
, ^zz++++=EXTRAWORD
striate ^jj+atrb+++=striate
inner ^jjb+atrb+++=inner
surface ^nn++++=surface.
. ^zz++++=EXTRAWORD
Microscopically ^rb+cnj+++=Microscopically,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
characterized ^vpsv++by+xvbnx+=characterized
by ^in++++=by
large ^jj+atrb+++=large
ovoid ^jj+atrb+++=ovoid
basidiospores ^nns+++??+=basidiospores
measuring ^vwbg+++xvbg+=measuring
14 ^cd++++=14
17 ^cd++++=17
7 ^zz++++=7
9 ^zz++++=9
m ^zz++++=m
( ^zz++++=(Baseia
baseia ^nn++++=EXTRAWORD
& ^zz++++=&
milanez ^np++++=Milanez
2001 ^cd++++=2001).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
