Therefore ^rb+cnj+++=Therefore,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
new ^jj+atrb+++=new
ex ^np++++=ex-post
- ^zz++++=EXTRAWORD
post ^nn++++=EXTRAWORD
models ^nns++++=models
may ^md+pos+++=may
represent ^vb++++=represent
a ^at++++=a
shift ^nn++++=shift
in ^in++++=in
the ^ati++++=the
theoretical ^jj+atrb+++=theoretical
mainstream ^nn++++=mainstream
and ^cc++++=and
orthodox ^jj+atrb+++=orthodox
perspectives ^nns++++=perspectives
on ^in++++=on
capital ^nn++++=capital
account ^nn++++=account
liberalization ^nn+nom+++=liberalization
and ^cc++++=and
capital ^nn++++=capital
controls ^nns++++=controls.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
development ^nn+nom+++=development
reflects ^vbz++++=reflects
an ^at++++=an
acknowledgment ^nn+nom+++=acknowledgment
that ^tht+vcmp+++=that
empirical ^jj+atrb+++=empirical
evidence ^nn+nom+++=evidence
has ^vbz+hvz+aux++=has
necessitated ^vprf+++xvbnx+=necessitated
adjustments ^nns+nom+++=adjustments
to ^to++++=to
existing ^vbi++++=existing
theoretical ^jj+atrb+++=theoretical
frameworks ^nns++++=frameworks,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather
than ^in++++=than
the ^ati++++=the
other ^ap++++=other
way ^nn++++=way
around ^in+strn+++=around.
. ^zz++++=EXTRAWORD
From ^in++++=From
this ^dt+dem+++=this
standpoint ^nn++++=standpoint,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
can ^md+pos+++=can
be ^vb+be+aux++=be
stated ^vpsv++agls+xvbnx+=stated
that ^tht+vcmp+++=that
the ^ati++++=the
new ^jj+atrb+++=new
mainstream ^nn++++=mainstream
models ^nns++++=models
constitute ^vb++++=constitute
a ^at++++=a
revised ^jj+atrb++xvbn+=revised
phase ^nn++++=phase
in ^in++++=in
the ^ati++++=the
theoretical ^jj+atrb+++=theoretical
approach ^nn++++=approach
to ^in++++=to
the ^ati++++=the
regulation ^nn+nom+++=regulation
of ^in++++=of
capital ^nn++++=capital
flows ^nns++++=flows.
. ^zz++++=EXTRAWORD
At ^rb++++=At
present ^vb++++=present,
, ^zz++++=EXTRAWORD
capital ^nn++++=capital
controls ^nns++++=controls
are ^vb+ber+aux++=are
more ^rbr++splt++=more
widely ^rb++++=widely
accepted ^vbd+vprv++xvbn+=accepted
within ^in++++=within
mainstream ^nn++++=mainstream
economics ^nn++++=economics
and ^cc++++=and
are ^vb+ber+aux++=are
increasingly ^rb++splt++=increasingly
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
important ^jj+atrb+++=important
policy ^nn++++=policy
instruments ^nns+nom+++=instruments
available ^jj++++=available
to ^in++++=to
central ^jj+atrb+++=central
banks ^nns++++=banks.
. ^zz++++=EXTRAWORD
