In ^rb++++=In
conclusion ^rb"++++=conclusion,
, ^zz++++=EXTRAWORD
immersing ^vbg+++xvbg+=immersing
V ^zz++++=V.
. ^zz++++=EXTRAWORD
reitzii ^nn+++??+=reitzii
seeds ^nns++++=seeds
in ^in++++=in
liquid ^jj+atrb+++=liquid
nitrogen ^nn++++=nitrogen
for ^in++++=for
24 ^cd++++=24
hours ^nns++++=hours
is ^vbz+bez+vrb++=is
sufficient ^jj+pred+++=sufficient
to ^to+jcmp+++=to
interrupt ^vbi++++=interrupt
metabolic ^jj+atrb+++=metabolic
activity ^nn+nom+++=activity,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
their ^pp$+pp3+++=their
potential ^nn++++=potential
for ^in++++=for
tolerance ^nn+nom+++=tolerance
and ^cc++++=and
indefinite ^jj+atrb+++=indefinite
storage ^nn+nom+++=storage.
. ^zz++++=EXTRAWORD
The ^ati++++=The
application ^nn+nom+++=application
of ^in++++=of
cryopreservation ^nn+nom+++=cryopreservation
through ^in++++=through
direct ^jj+atrb+++=direct
immersion ^nn++++=immersion
in ^in++++=in
liquid ^jj+atrb+++=liquid
nitrogen ^nn++++=nitrogen
proved ^vbd+vprv++xvbn+=proved
to ^to+vcmp+++=to
be ^vbi++vrb++=be
an ^at++++=an
effective ^jj+atrb+++=effective
method ^nn++++=method
for ^in++++=for
the ^ati++++=the
long ^jj++++=long-term
- ^zz++++=EXTRAWORD
term ^nn++++=EXTRAWORD
ex ^jjb+atrb+++=ex
situ ^nn++++=situ
conservation ^nn+nom+++=conservation
of ^in++++=of
V ^zz++++=V.
. ^zz++++=EXTRAWORD
reitzii ^nn+++??+=reitzii
seeds ^nns++++=seeds.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
the ^ati++++=the
success ^nns+nom+++=success
of ^in++++=of
this ^dt+dem+++=this
conservation ^nn+nom+++=conservation
process ^nns+nom+++=process
is ^vbz+bez+aux++=is
strongly ^rb+amp+splt++=strongly
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
the ^ati++++=the
maturity ^nn+nom+++=maturity
stage ^nn++++=stage
and ^cc++++=and
water ^nn++++=water
content ^nn++++=content
of ^in++++=of
the ^ati++++=the
seeds ^nns++++=seeds.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
V ^zz++++=V.
. ^zz++++=EXTRAWORD
reitzii ^nn+++??+=reitzii
seeds ^nns++++=seeds
undergo ^vb++++=undergo
a ^at++++=a
natural ^jj+atrb+++=natural
desiccation ^nn+nom+++=desiccation
process ^nns+nom+++=process
on ^in++++=on
the ^ati++++=the
mother ^nn++++=mother
plant ^nn++++=plant
and ^cc++++=and
demonstrate ^nn+nom+++=demonstrate
the ^ati++++=the
ability ^nn+nom+++=ability
to ^to+ncmp+++=to
tolerate ^nn+nom+++=tolerate
both ^abx++++=both
desiccation ^nn+nom+++=desiccation
and ^cc++++=and
storage ^nn+nom+++=storage,
, ^zz++++=EXTRAWORD
characteristics ^nns++++=characteristics
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
consistent ^jj+pred+++=consistent
with ^in++++=with
their ^pp$+pp3+++=their
classification ^nn+nom+++=classification
as ^in++++=as
orthodox ^jj+atrb+++=orthodox
seeds ^nns++++=seeds.
. ^zz++++=EXTRAWORD
