Play ^nn++++=Play
( ^zz++++=(Vygotsky,
vygotsky ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001;
; ^zz++++=EXTRAWORD
Holzman ^np+++??+=Holzman,
, ^zz++++=EXTRAWORD
2009 ^cd++++=2009),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
key ^jjb+atrb+++=key
concept ^nn++++=concept
in ^in++++=in
this ^dt+dem+++=this
discussion ^nn++++=discussion,
, ^zz++++=EXTRAWORD
involves ^vbz++++=involves
situations ^nns+nom+++=situations
in ^in++++=in
which ^whp+rel+pied++=which
participants ^nns+nom+++=participants
engage ^vb++++=engage
with ^in++++=with
rules ^nns++++=rules,
, ^zz++++=EXTRAWORD
navigate ^nn+nom+++=navigate
uncertainty ^nn++++=uncertainty
in ^in++++=in
an ^at++++=an
online ^nn+++??+=online
context ^nn++++=context,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
exercise ^nn++++=exercise
a ^at++++=a
degree ^nn++++=degree
of ^in++++=of
agency ^nn++++=agency
in ^in++++=in
response ^nn++++=response
to ^in++++=to
conflicts ^nns++++=conflicts
that ^tht+rel+subj++=that
arise ^vb++++=arise
during ^in++++=during
sessions ^nns++++=sessions.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
paper ^nn++++=paper
examines ^vbz++++=examines
and ^cc+phrs+++=and
illustrates ^nns+nom+++=illustrates
how ^wrb+who+++=how
participants ^nns+nom+++=participants
encountered ^vwbn+++xvbn+=encountered
these ^dt+dem+++=these
principles ^nns++++=principles,
, ^zz++++=EXTRAWORD
both ^abx++++=both
as ^ql++++=as
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
incorporated ^vpsv++agls+xvbnx+=incorporated
into ^in++++=into
the ^ati++++=the
workshop ^nn++++=workshop
design ^nn++++=design
and ^cc++++=and
as ^ql++++=as
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
later ^rbr+tm+splt++=later
described ^vpsv++by+xvbnx+=described
by ^in++++=by
participants ^nns+nom+++=participants
during ^in++++=during
specific ^jj+atrb+++=specific
moments ^nns+nom+++=moments
in ^in++++=in
the ^ati++++=the
session ^nn++++=session.
. ^zz++++=EXTRAWORD
By ^in++++=By
relating ^xvbg+++xvbg+=relating
these ^dt+dem+++=these
concepts ^nns++++=concepts
to ^to++++=to
selected ^vbi++++=selected
participant ^nn+nom+++=participant
testimonials ^nns+nom+++=testimonials,
, ^zz++++=EXTRAWORD
the ^ati++++=the
analysis ^nn++++=analysis
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
play ^nn++++=play
functions ^nns+nom+++=functions
as ^in++++=as
an ^at++++=an
effective ^jj+atrb+++=effective
intervention ^nn+nom+++=intervention
tool ^nn++++=tool,
, ^zz++++=EXTRAWORD
supporting ^vbg+++xvbg+=supporting
what ^wdt+who+++=what
Freire ^np+++??+=Freire
( ^zz++++=(1970)
1970 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
described ^vbd+++xvbn+=described
as ^ql++++=as
the ^ati++++=the
creation ^nn+nom+++=creation
of ^in++++=of
the ^ati++++=the
" ^zz++++="viable
viable ^jj++++=EXTRAWORD
unheard ^jj++++=unheard
of ^in+strn+++=of,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
or ^cc++++=or
the ^ati++++=the
capacity ^nn+nom+++=capacity
to ^to+ncmp+++=to
transform ^vb++++=transform
reality ^nn+nom+++=reality.
. ^zz++++=EXTRAWORD
