Biological ^jj+atrb+++=Biological
collections ^nns+nom+++=collections
play ^vb++++=play
a ^at++++=a
critical ^jj+atrb+++=critical
role ^nn++++=role
in ^in++++=in
advancing ^xvbg+++xvbg+=advancing
knowledge ^nn++++=knowledge
of ^in++++=of
biodiversity ^nn+nom+++=biodiversity
within ^in++++=within
specific ^jj+atrb+++=specific
environments ^nns+nom+++=environments.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
organized ^vbd+++xvbn+=organized,
, ^zz++++=EXTRAWORD
listed ^xvbn+++xvbn+=listed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
catalogued ^jj+atrb++xvbn+=catalogued
adult ^nn++++=adult
specimens ^nns++++=specimens
of ^in++++=of
the ^ati++++=the
family ^nn++++=family
Culicidae ^np+++??+=Culicidae
housed ^vbd+++xvbn+=housed
in ^in++++=in
the ^ati++++=the
Parasitology ^np+++??+=Parasitology
Collection ^nn+nom+++=Collection
of ^in++++=of
the ^ati++++=the
Basic ^jj+atrb+++=Basic
Pathology ^np+++??+=Pathology
Department ^nn+nom+++=Department
at ^in++++=at
the ^ati++++=the
Federal ^jj+atrb+++=Federal
University ^nn+nom+++=University
of ^in++++=of
Paran ^np+++??+=Paran
, ^zz++++=,
southern ^jj+atrb+++=southern
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
A ^at++++=A
database ^nn+++??+=database
was ^vbd+bedz+aux++=was
developed ^vpsv++agls+xvbnx+=developed
to ^in++++=to
record ^nn++++=record
taxonomic ^nn++++=taxonomic
and ^cc++++=and
collection ^nn+nom+++=collection
data ^nns++++=data
for ^in++++=for
each ^dt++++=each
specimen ^nn++++=specimen.
. ^zz++++=EXTRAWORD
The ^ati++++=The
culicids ^nns+++??+=culicids
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
using ^vbg+++xvbg+=using
various ^jj+atrb+++=various
methodologies ^nns+++??+=methodologies
across ^in+pl+++=across
18 ^cd++++=18
municipalities ^nns+nom+++=municipalities
in ^in++++=in
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
Paran ^np+++??+=Paran
between ^in++++=between
1967 ^cd+date+++=1967
and ^cc++++=and
1999 ^cd+date+++=1999.
. ^zz++++=EXTRAWORD
The ^ati++++=The
collection ^nn+nom+++=collection
comprises ^vbz++++=comprises
5,739 ^cd++++=5,739
catalogued ^jj+atrb++xvbn+=catalogued
specimens ^nns++++=specimens,
, ^zz++++=EXTRAWORD
of ^in++++=of
which ^whp+rel+pied++=which
4,704 ^cd++++=4,704
( ^zz++++=(81.96%)
81.96 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
identified ^vpsv++agls+xvbnx+=identified
to ^in++++=to
the ^ati++++=the
species ^nn++++=species
level ^nn++++=level,
, ^zz++++=EXTRAWORD
representing ^vbg+++xvbg+=representing
205 ^cd++++=205
species ^nn++++=species.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
18 ^cd++++=18
species ^nn++++=species
are ^vb+ber+aux++=are
newly ^rb++splt++=newly
recorded ^vpsv++agls+xvbnx+=recorded
for ^in++++=for
the ^ati++++=the
state ^nn++++=state
of ^in++++=of
Paran ^np+++??+=Paran
and ^cc++++=and
3 ^zz++++=3
for ^in++++=for
Brazil ^np++++=Brazil.
. ^zz++++=EXTRAWORD
In ^in++++=In
recognition ^nn+nom+++=recognition
of ^in++++=of
three ^cd++++=three
decades ^nns++++=decades
of ^in++++=of
research ^nn++++=research
on ^in++++=on
culicids ^nns+++??+=culicids
in ^in++++=in
Paran ^np+++??+=Paran
, ^zz++++=,
we ^pp1a+pp1+++=we
propose ^vb++++=propose
the ^ati++++=the
establishment ^nn+nom+++=establishment
of ^in++++=of
the ^ati++++=the
Ana ^np+++??+=Ana
Leuch ^np+++??+=Leuch
Lozovei ^np+++??+=Lozovei
Entomological ^np+++??+=Entomological
Collection ^nn+nom+++=Collection,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
will ^md+prd+++=will
include ^vb++++=include
insect ^nn++++=insect
vectors ^nns++++=vectors
or ^cc++++=or
potential ^jj+atrb+++=potential
vectors ^nns++++=vectors
of ^in++++=of
human ^jj+atrb+++=human
disease ^nn++++=disease
agents ^nns++++=agents.
. ^zz++++=EXTRAWORD
