Since ^in++++=Since
the ^ati++++=the
onset ^nn++++=onset
of ^in++++=of
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn++++=pandemic,
, ^zz++++=EXTRAWORD
scientists ^nns+nom+++=scientists
and ^cc++++=and
health ^nn++++=health
care ^nn++++=care
professionals ^nns+nom+++=professionals
have ^vb+hv+aux++=have
provided ^vprf+++xvbnx+=provided
evidence ^nn+nom+++=evidence-based
- ^zz++++=EXTRAWORD
based ^vbd+++xvbn+=EXTRAWORD
information ^nn+nom+++=information
to ^in++++=to
the ^ati++++=the
general ^jj++++=general
public ^jj++++=public,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
increased ^jj+atrb++xvbn+=increased
visibility ^nn+nom+++=visibility
in ^in++++=in
both ^abx++++=both
social ^jj++++=social
and ^cc++++=and
mainstream ^nn++++=mainstream
media ^nns++++=media.
. ^zz++++=EXTRAWORD
The ^ati++++=The
public ^nn++++=public
observed ^vbd+vprv++xvbn+=observed
scientific ^jj+atrb+++=scientific
processes ^nns+nom+++=processes
in ^in++++=in
real ^jj+atrb+++=real
time ^nn++++=time
as ^in++++=as
these ^dt+dem+++=these
professionals ^nns+nom+++=professionals
worked ^vbd+++xvbn+=worked
to ^to++++=to
improve ^vbi++++=improve
understanding ^nvbg+++xvbg+=understanding
and ^cc++++=and
develop ^vb++++=develop
diagnostic ^nn++++=diagnostic,
, ^zz++++=EXTRAWORD
treatment ^nn+nom+++=treatment,
, ^zz++++=EXTRAWORD
prevention ^nn+nom+++=prevention,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
control ^nn++++=control
measures ^nns++++=measures
for ^in++++=for
the ^ati++++=the
novel ^nn++++=novel
disease ^nn++++=disease.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
study ^nn++++=study
aims ^vb++++=aims
to ^to+vcmp+++=to
assess ^vbi++++=assess
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^jj++++=pandemic
on ^in++++=on
adolescents ^nns++++=adolescents
perceptions ^nns+nom+++=perceptions
of ^in++++=of
science ^nn+nom+++=science,
, ^zz++++=EXTRAWORD
scientists ^nns+nom+++=scientists,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
health ^nn++++=health
care ^nn++++=care
workers ^nns+nom+++=workers;
; ^zz++++=EXTRAWORD
to ^to++++=to
determine ^vbi++++=determine
whether ^cs+who+++=whether
these ^dt+dem+++=these
perceptions ^nns+nom+++=perceptions
influenced ^vwbn+++xvbn+=influenced
their ^pp$+pp3+++=their
career ^nn++++=career
choices ^nns++++=choices;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
examine ^vbi++++=examine
first ^od++++=first-year
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
applications ^nns+nom+++=applications
and ^cc++++=and
enrollments ^nns+nom+++=enrollments
in ^in++++=in
scientific ^jj+atrb+++=scientific
