During ^in++++=During
my ^pp$+pp1+++=my
first ^od++++=first
scholarship ^nn+nom+++=scholarship,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shared ^vbd+++xvbnx+=shared
a ^at++++=a
room ^nn++++=room
with ^in++++=with
a ^at++++=a
teacher ^nn++++=teacher
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
excessively ^rb++++=excessively
strict ^jj+pred+++=strict
with ^in++++=with
colleagues ^nns++++=colleagues,
, ^zz++++=EXTRAWORD
requiring ^vbg+vsua++xvbg+=requiring
more ^ql++++=more
hours ^nns++++=hours
of ^in++++=of
student ^nn++++=student
commitment ^nn+nom+++=commitment
than ^in++++=than
was ^vbd+bedz+aux++=was
typically ^rb++splt++=typically
expected ^vpsv++agls+xvbn+=expected
( ^zz++++=(USResearcher
usresearcher ^jjr+atrb+++=EXTRAWORD
05 ^nn++++=05,
, ^zz++++=EXTRAWORD
questionnaire ^nn++++=Questionnaire,
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
