With ^in++++=With
respect ^nn++++=respect
to ^in++++=to
age ^nn++++=age,
, ^zz++++=EXTRAWORD
the ^ati++++=the
models ^nns++++=models
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
the ^ati++++=the
probability ^nn+nom+++=probability
of ^in++++=of
remote ^jj+atrb+++=remote
work ^nn++++=work
is ^vbz+bez+vrb++=is
higher ^jjr+pred+++=higher
for ^in++++=for
workers ^nns+nom+++=workers
aged ^jj++++=aged
16 ^cd++++=16
to ^to++++=to
19 ^cd++++=19
years ^nns++++=years,
, ^zz++++=EXTRAWORD
except ^in++++=except
when ^wrb+who+++=when
compared ^xvbn+++xvbn+=compared
to ^in++++=to
those ^dt+dem+++=those
aged ^jj++++=aged
60 ^cd++++=60
to ^to++++=to
65 ^cd++++=65.
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
the ^ati++++=the
marginal ^jj+atrb+++=marginal
effects ^nns++++=effects
associated ^vbd+++xvbn+=associated
with ^in++++=with
age ^nn++++=age
are ^vb+ber+vrb++=are
small ^jj+pred+++=small,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
finding ^nvbg+++xvbg+=finding
is ^vbz+bez+vrb++=is
notable ^jj+pred+++=notable
because ^cs+cos+++=because
it ^pp3+it+++=it
initially ^rb+tm+++=initially
appears ^vbz+seem+++=appears
to ^to+vcmp+++=to
contrast ^vbi++++=contrast
with ^in++++=with
the ^ati++++=the
results ^nns++++=results
presented ^vwbn+++xvbn+=presented
in ^in++++=in
Figure ^nn++++=Figure
3 ^zz++++=3.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
controlling ^jj+++xvbg+=controlling
for ^in++++=for
all ^abn++++=all
other ^ap++++=other
observable ^jj+atrb+++=observable
characteristics ^nns++++=characteristics
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
3 ^zz++++=3),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
younger ^jjr+atrb+++=younger
workers ^nns+nom+++=workers
are ^vb+ber+vrb++=are
somewhat ^rb+down+++=somewhat
more ^rbr++++=more
likely ^jj++++=likely
to ^to+jcmp+++=to
work ^vb++++=work
remotely ^rb++++=remotely
than ^in++++=than
older ^jjr+atrb+++=older
workers ^nns+nom+++=workers.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
these ^dt+dem+++=these
characteristics ^nns++++=characteristics
are ^vb+ber+aux++=are
not ^xnot++not++=not
controlled ^vbd+++xvbn+=controlled
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
the ^ati++++=the
participation ^nn+nom+++=participation
of ^in++++=of
young ^jj+atrb+++=young
workers ^nns+nom+++=workers
in ^in++++=in
remote ^jj+atrb+++=remote
work ^nn++++=work
is ^vbz+bez+vrb++=is
lower ^jjr+pred+++=lower
than ^cs+sub+++=than
that ^dt+dem+++=that
of ^in++++=of
other ^ap++++=other
age ^nn++++=age
groups ^nns++++=groups
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
3 ^zz++++=3).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
As ^in++++=As
discussed ^nn++++=discussed
by ^in++++=by
Yasenov ^np+++??+=Yasenov
( ^zz++++=(2020)
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Gallacher ^np+nom++??+=Gallacher
and ^cc++++=and
Hossain ^np+++??+=Hossain
( ^zz++++=(2020),
2020 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
lower ^jjr+atrb+++=lower
participation ^nn+nom+++=participation
rate ^nn++++=rate
of ^in++++=of
young ^jj+atrb+++=young
workers ^nns+nom+++=workers
in ^in++++=in
remote ^jj+atrb+++=remote
work ^nn++++=work,
, ^zz++++=EXTRAWORD
relative ^jj++++=relative
to ^in++++=to
their ^pp$+pp3+++=their
total ^jj+atrb+++=total
population ^nn+nom+++=population,
