By ^in++++=By
integrating ^xvbg+++xvbg+=integrating
the ^ati++++=the
three ^cd++++=three
selection ^nn+nom+++=selection
components ^nns++++=components
outlined ^vbd+++xvbn+=outlined
above ^in+pl+++=above
( ^zz++++=(equations
equations ^nns+nom+++=EXTRAWORD
1 ^zz++++=1,
, ^zz++++=EXTRAWORD
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
3 ^zz++++=3),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
evolutionary ^jj+atrb+++=evolutionary
change ^nn++++=change
in ^in++++=in
Zi ^np+++??+=Zi
at ^rb++++=at
timestep ^nn+++??+=timestep
t+1 ^nn+++??+=t+1
is ^vbz+bez+aux++=is
expressed ^vpsv++agls+xvbnx+=expressed
as ^ql++++=as:
: ^zz++++=EXTRAWORD
< ^zz++++=<>,
> ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
i ^pp1a+pp1+++=i
represents ^vbz++++=represents
a ^at++++=a
composite ^jj+atrb+++=composite
parameter ^nn+nom+++=parameter
incorporating ^vwbg+++xvbg+=incorporating
both ^abx++++=both
additive ^jj+atrb+++=additive
genetic ^jj+atrb+++=genetic
variance ^nn+nom+++=variance
and ^cc++++=and
the ^ati++++=the
slope ^nn++++=slope
of ^in++++=of
the ^ati++++=the
adaptive ^jj+atrb+++=adaptive
landscape ^nn++++=landscape.
. ^zz++++=EXTRAWORD
The ^ati++++=The
parameter ^nn+nom+++=parameter
i ^pp1a+pp1+++=i
quantifies ^vbz++++=quantifies
the ^ati++++=the
relative ^jj+atrb+++=relative
influence ^nn+nom+++=influence
of ^in++++=of
ecological ^jj+atrb+++=ecological
interactions ^nns+nom+++=interactions
compared ^vbd+++xvbn+=compared
to ^in++++=to
environmental ^jj+atrb+++=environmental
factors ^nns++++=factors
as ^in++++=as
selective ^jj+atrb+++=selective
pressures ^nns++++=pressures.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
in ^in++++=in
this ^dt+dem+++=this
model ^nn++++=model,
, ^zz++++=EXTRAWORD
trait ^nn++++=trait
evolution ^nn+nom+++=evolution
is ^vbz+bez+aux++=is
defined ^vpsv++agls+xvbn+=defined
as ^ql++++=as:
: ^zz++++=EXTRAWORD
< ^zz++++=<>.
> ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
