Table ^nn++++=Table
5 ^zz++++=5
presents ^vbz++++=presents
the ^ati++++=the
means ^nn++++=means
and ^cc++++=and
standard ^jj+atrb+++=standard
deviations ^nns+nom+++=deviations
of ^in++++=of
the ^ati++++=the
factors ^nns++++=factors
associated ^vbd+++xvbn+=associated
with ^in++++=with
different ^jj+atrb+++=different
levels ^nns++++=levels
of ^in++++=of
selfitis ^nns+++??+=selfitis
intensity ^nn+nom+++=intensity.
. ^zz++++=EXTRAWORD
The ^ati++++=The
results ^nns++++=results
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
participants ^nns+nom+++=participants
with ^in++++=with
low ^jj+atrb+++=low
selfitis ^nns+++??+=selfitis
intensity ^nn+nom+++=intensity
reported ^vbd+vpub++xvbn+=reported
the ^ati++++=the
highest ^jjt+atrb+++=highest
mean ^jj+atrb+++=mean
score ^nn++++=score
for ^in++++=for
the ^ati++++=the
" ^zz++++="environmental
environmental ^jj+atrb+++=EXTRAWORD
enhancement ^nn+nom+++=enhancement"
" ^zz++++=EXTRAWORD
factor ^nn++++=factor
( ^zz++++=(M
m ^zz++++=EXTRAWORD
= ^zz++++==
3.39 ^cd++++=3.39).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
For ^in++++=For
participants ^nns+nom+++=participants
with ^in++++=with
mild ^jj+atrb+++=mild
selfitis ^nns+++??+=selfitis
intensity ^nn+nom+++=intensity,
, ^zz++++=EXTRAWORD
the ^ati++++=the
" ^zz++++="mood
mood ^nn++++=EXTRAWORD
and ^cc++++=and
confidence ^nn+nom+++=confidence"
" ^zz++++=EXTRAWORD
factor ^nn++++=factor
had ^vb+hv+vrb++=had
the ^ati++++=the
highest ^nn++++=highest
mean ^vb+vprv+++=mean
( ^zz++++=(M
m ^zz++++=EXTRAWORD
= ^zz++++==
3.21 ^cd++++=3.21).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Among ^in++++=Among
those ^dt+dem+++=those
with ^in++++=with
moderate ^jj+atrb+++=moderate
selfitis ^nns+++??+=selfitis
intensity ^nn+nom+++=intensity,
, ^zz++++=EXTRAWORD
the ^ati++++=the
" ^zz++++="subjective
subjective ^jj+atrb+++=EXTRAWORD
conformity ^nn+nom+++=conformity"
" ^zz++++=EXTRAWORD
factor ^nn++++=factor
showed ^vbd+vprv+tht0+xvbn+=showed
the ^ati++++=the
highest ^nn++++=highest
mean ^vb+vprv+++=mean
( ^zz++++=(M
m ^zz++++=EXTRAWORD
= ^zz++++==
3.19 ^cd++++=3.19).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
severe ^jj+atrb+++=severe
selfitis ^nns+++??+=selfitis
intensity ^nn+nom+++=intensity
group ^nn++++=group,
, ^zz++++=EXTRAWORD
the ^ati++++=the
" ^zz++++="attention
attention ^nn+nom+++=EXTRAWORD
seeking ^vwbg+++xvbg+=seeking"
" ^zz++++=EXTRAWORD
and ^cc++++=and
" ^zz++++="social
social ^jj+atrb+++=EXTRAWORD
competition ^nn+nom+++=competition"
" ^zz++++=EXTRAWORD
factors ^nns++++=factors
had ^vb+hv+vrb++=had
the ^ati++++=the
highest ^jjt+atrb+++=highest
mean ^jj+atrb+++=mean
scores ^nns++++=scores
( ^zz++++=(M
m ^zz++++=EXTRAWORD
= ^zz++++==
4.02 ^cd++++=4.02
and ^cc++++=and
m ^zz++++=M
= ^zz++++==
3.45 ^cd++++=3.45,
, ^zz++++=EXTRAWORD
respectively ^rb++++=respectively).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
