Remarks ^vbz+vpub+++=Remarks.
. ^zz++++=EXTRAWORD
Bagrobdella ^np+++??+=Bagrobdella
vansteenbergei ^nn+++??+=vansteenbergei
can ^md+pos+++=can
be ^vb+be+aux++=be
distinguished ^vpsv++agls+xvbnx+=distinguished
from ^in++++=from
all ^rb++++=all
previously ^rb+tm+++=previously
described ^xvbn+++xvbn+=described
species ^nns++++=species
by ^in++++=by
the ^ati++++=the
relative ^jj+atrb+++=relative
uniformity ^nn+nom+++=uniformity
in ^in++++=in
the ^ati++++=the
length ^nn++++=length
of ^in++++=of
its ^pp$+it+++=its
hooks ^nns++++=hooks,
, ^zz++++=EXTRAWORD
with ^in++++=with
all ^abn++++=all
pairs ^nns++++=pairs
being ^vwbg+beg++xvbg+=being
nearly ^rb+down+++=nearly
equal ^jj++++=equal
in ^in++++=in
size ^nn++++=size
and ^cc++++=and
pair ^nn++++=pair
I ^pp1a+pp1+++=I
only ^rb+down+++=only
slightly ^rb+down+++=slightly
longer ^rbr++++=longer
than ^in++++=than
the ^ati++++=the
others ^aps++++=others.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
other ^ap++++=other
described ^jj+atrb++xvbn+=described
species ^nns++++=species,
, ^zz++++=EXTRAWORD
including ^in++++=including
B ^zz++++=B.
. ^zz++++=EXTRAWORD
vanhovei ^nn+++??+=vanhovei
sp ^&fo++++=sp.
. ^zz++++=EXTRAWORD
nov ^nr++++=nov.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
exhibit ^vb++++=exhibit
hooks ^nns++++=hooks
of ^in++++=of
varying ^xvbg+++xvbg+=varying
lengths ^nns++++=lengths
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
10 ^cd++++=10).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
trapezoidal ^jj+atrb+++=trapezoidal
piece ^nn++++=piece
was ^vbd+bedz+aux++=was
not ^xnot++not++=not
observed ^vbd+vprv++xvbn+=observed
in ^in++++=in
any ^dti++++=any
of ^in++++=of
the ^ati++++=the
17 ^cd++++=17
examined ^jj+atrb++xvbn+=examined
individuals ^nns+nom+++=individuals
( ^zz++++=(15
15 ^cd++++=EXTRAWORD
mounted ^vwbn+++xvbn+=mounted
in ^in++++=in
Hoyer ^np+++??+=Hoyer
s ^zz++++=s
medium ^jjb++++=medium
and ^cc++++=and
2 ^zz++++=2
preserved ^jj+++xvbn+=preserved
in ^in++++=in
ethanol ^nn+++??+=ethanol),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
its ^pp$+it+++=its
absence ^nn+nom+++=absence
in ^in++++=in
this ^dt+dem+++=this
species ^nn++++=species,
, ^zz++++=EXTRAWORD
although ^cs+con+++=although
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
typically ^rb++++=typically
only ^rb+down+++=only
slightly ^rb+down+++=slightly
sclerotised ^jj+++xvbn+=sclerotised
and ^cc++++=and
may ^md+pos+++=may
be ^vb+be+vrb++=be
difficult ^jj+pred+++=difficult
to ^to+jcmp+++=to
detect ^vbi++++=detect.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ventral ^jj+atrb+++=ventral
anchors ^nns++++=anchors
are ^vb+ber+aux++=are
characterized ^vpsv++by+xvbnx+=characterized
by ^in++++=by
slight ^jj+atrb+++=slight
perforations ^nns+nom+++=perforations.
. ^zz++++=EXTRAWORD
The ^ati++++=The
male ^jj+atrb+++=male
copulatory ^nn++++=copulatory
organ ^nn++++=organ
of ^in++++=of
B ^zz++++=B.
. ^zz++++=EXTRAWORD
vansteenbergei ^nn+++??+=vansteenbergei
is ^vbz+bez+vrb++=is
unique ^jj+pred+++=unique
within ^in++++=within
Bagrobdella ^np+++??+=Bagrobdella
spp ^nn+++??+=spp.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
exhibiting ^nvbg+++xvbg+=exhibiting
a ^at++++=a
subterminal ^jj++++=subterminal
opening ^jj+++xvbg+=opening
and ^cc++++=and
lacking ^vbg+++xvbg+=lacking
a ^at++++=a
surrounding ^jj+atrb+++=surrounding
membrane ^nn++++=membrane
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
11 ^cd++++=11).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
