Despite ^in++++=Despite
the ^ati++++=the
emergence ^nn+nom+++=emergence
of ^in++++=of
new ^jj+atrb+++=new
evidence ^nn+nom+++=evidence,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mainstream ^nn++++=mainstream
economic ^jj+atrb+++=economic
literature ^nn++++=literature
has ^vbz+hvz+aux++=has
generally ^rb+down+++=generally
not ^xnot++not++=not
supported ^vbd+++xvbn+=supported
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
capital ^nn++++=capital
controls ^vbz++++=controls
as ^ql++++=as
an ^at++++=an
alternative ^jj+atrb+++=alternative
policy ^nn++++=policy
tool ^nn++++=tool
for ^in++++=for
emerging ^xvbg+++xvbg+=emerging
economies ^nns++++=economies.
. ^zz++++=EXTRAWORD
The ^ati++++=The
authors ^nns++++=authors
recommendations ^nns+nom+++=recommendations
are ^vb+ber+aux++=are
grounded ^vpsv++agls+xvbnx+=grounded
in ^in++++=in
the ^ati++++=the
threshold ^nn++++=threshold
approach ^nn++++=approach,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
posits ^nns+++??+=posits
that ^tht+rel+obj++=that
the ^ati++++=the
advantages ^nns+nom+++=advantages
of ^in++++=of
capital ^nn++++=capital
account ^nn++++=account
liberalization ^nn+nom+++=liberalization
may ^md+pos+++=may
require ^vb+vsua+++=require
a ^at++++=a
certain ^jj+atrb+++=certain
period ^nn++++=period
to ^to++++=to
materialize ^vbi++++=materialize
in ^in++++=in
emerging ^xvbg+++xvbg+=emerging
markets ^nns++++=markets.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
approach ^nn++++=approach
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
the ^ati++++=the
positive ^jj+atrb+++=positive
effects ^nns++++=effects
of ^in++++=of
financial ^jj+atrb+++=financial
openness ^nns+nom+++=openness
become ^vb++++=become
significant ^jj++++=significant
only ^rb+down+++=only
once ^rb+tm+++=once
a ^at++++=a
particular ^jj+atrb+++=particular
level ^nn++++=level
of ^in++++=of
financial ^jj+atrb+++=financial
integration ^nn+nom+++=integration,
, ^zz++++=EXTRAWORD
relative ^jj++++=relative
to ^in++++=to
gdp ^np++++=GDP,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+aux++=has
been ^vbd+ben+aux++=been
achieved ^vbd+++xvbn+=achieved.
. ^zz++++=EXTRAWORD
