Negative ^jj+atrb+++=Negative
face ^nn++++=face
refers ^vbz++++=refers
to ^in++++=to
the ^ati++++=the
desire ^nn++++=desire
of ^in++++=of
every ^at++++=every
competent ^jj+atrb+++=competent
adult ^nn++++=adult
individual ^jj++++=individual
to ^in++++=to
have ^vbi++vrb++=have
their ^pp$+pp3+++=their
actions ^nns+nom+++=actions
remain ^vb++++=remain
free ^jj++++=free
from ^in++++=from
interference ^nn+nom+++=interference
by ^in++++=by
others ^aps++++=others.
. ^zz++++=EXTRAWORD
