Recent ^jj+atrb+++=Recent
studies ^nns++++=studies
conducted ^vbd+++xvbn+=conducted
along ^in++++=along
the ^ati++++=the
Brazilian ^jj++++=Brazilian-Bolivian
- ^zz++++=EXTRAWORD
bolivian ^jj+atrb+++=EXTRAWORD
border ^nn++++=border,
, ^zz++++=EXTRAWORD
specifically ^rb++++=specifically
in ^in++++=in
the ^ati++++=the
municipalities ^nns+nom+++=municipalities
of ^in++++=of
Brasil ^np+++??+=Brasil
ia ^nn+++??+=ia
and ^cc++++=and
Xapuri ^np+++??+=Xapuri,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
documented ^vprf+++xvbnx+=documented
a ^at++++=a
high ^jj+atrb+++=high
richness ^nns+nom+++=richness
and ^cc++++=and
diversity ^nn+nom+++=diversity
of ^in++++=of
sand ^nn++++=sand
fly ^vb++++=fly
species ^nns++++=species.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
Nyssomyia ^np+++??+=Nyssomyia
shawi ^nn+++??+=shawi
( ^zz++++=(Fraiha,
fraiha ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Ward ^nn++++=Ward
& ^zz++++=&
Ready ^jj++++=Ready,
, ^zz++++=EXTRAWORD
1981 ^cd+date+++=1981)
) ^zz++++=EXTRAWORD
and ^cc++++=and
Trichophoromyia ^np+++??+=Trichophoromyia
sp ^&fo++++=sp.
. ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
identified ^vpsv++agls+xvbnx+=identified
as ^ql++++=as
the ^ati++++=the
most ^ql+emph+++=most
frequent ^jj+atrb+++=frequent
species ^nn++++=species
and ^cc++++=and
were ^vbd+bed+aux++=were
found ^vpsv++agls+xvbnx+=found
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
infected ^vpsv++agls+xvbnx+=infected
with ^in++++=with
Leishmania ^np+++??+=Leishmania
Dna ^np+++??+=DNA
[ ^zz++++=[3].
3 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
studies ^nns++++=studies
also ^rb++++=also
confirmed ^vbd+vpub++xvbn+=confirmed
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
a ^at++++=a
wide ^jj+atrb+++=wide
variety ^nn++++=variety
of ^in++++=of
vector ^nn++++=vector
species ^nns++++=species
captured ^vbd+++xvbn+=captured
in ^in++++=in
both ^abx++++=both
domestic ^jj++++=domestic
and ^cc++++=and
forest ^nn++++=forest
environments ^nns+nom+++=environments.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
research ^nn++++=research
in ^in++++=in
this ^dt+dem+++=this
region ^nn++++=region
has ^vbz+hvz+aux++=has
led ^vprf+++xvbnx+=led
to ^in++++=to
the ^ati++++=the
description ^nn+nom+++=description
of ^in++++=of
a ^at++++=a
new ^jj+atrb+++=new
species ^nns++++=species
and ^cc++++=and
the ^ati++++=the
revalidation ^nn+nom+++=revalidation
of ^in++++=of
certain ^jj+atrb+++=certain
taxa ^nn++++=taxa
[ ^zz++++=[16,
16 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
17 ^cd++++=17,
, ^zz++++=EXTRAWORD
18 ^cd++++=18].
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
