All ^abn++++=All
methods ^nns++++=methods
that ^tht+rel+subj++=that
utilize ^vb++++=utilize
gross ^jj+atrb+++=gross
employment ^nn+nom+++=employment
density ^nn+nom+++=density
( ^zz++++=(employment
employment ^nn+nom+++=EXTRAWORD
per ^in++++=per
unit ^nn++++=unit
area ^nn++++=area)
) ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
sensitive ^jj+pred+++=sensitive
to ^in++++=to
the ^ati++++=the
size ^nn++++=size
of ^in++++=of
the ^ati++++=the
area ^nn++++=area
under ^in++++=under
consideration ^nn+nom+++=consideration,
, ^zz++++=EXTRAWORD
as ^in++++=as
larger ^jjr+atrb+++=larger
regions ^nns++++=regions
typically ^rb++++=typically
exhibit ^vb++++=exhibit
lower ^jjr+atrb+++=lower
density ^nn+nom+++=density
values ^nns++++=values,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
can ^md+pos+++=can
complicate ^nn+nom+++=complicate
the ^ati++++=the
identification ^nn+nom+++=identification
of ^in++++=of
employment ^nn+nom+++=employment
subcenters ^nns+nom+++=subcenters.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
Mieszkowski ^np+++??+=Mieszkowski
and ^cc++++=and
Smith ^np++++=Smith
( ^zz++++=(1991)
1991 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
note ^vb++++=note
that ^tht+vcmp+obj++=that
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
gross ^jj+atrb+++=gross
density ^nn+nom+++=density
in ^in++++=in
estimation ^nn+nom+++=estimation
procedures ^nns++++=procedures
tends ^vbz++++=tends
to ^to+vcmp+++=to
result ^vbi++++=result
in ^in++++=in
inflated ^vpsv++agls+xvbn+=inflated
coefficient ^nn++++=coefficient
estimates ^nns+nom+++=estimates.
. ^zz++++=EXTRAWORD
