Among ^in++++=Among
all ^abn++++=all
the ^ati++++=the
species ^nns++++=species
identified ^vwbn+++xvbn+=identified
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study,
, ^zz++++=EXTRAWORD
55 ^cd++++=55%
% ^zz++++=EXTRAWORD
exhibit ^vb++++=exhibit
zoochoric ^jj+atrb+++=zoochoric
dispersal ^nn+nom+++=dispersal
syndromes ^nns+++??+=syndromes,
, ^zz++++=EXTRAWORD
30 ^cd++++=30%
% ^zz++++=EXTRAWORD
anemochoric ^jj++++=anemochoric,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
12.5 ^cd++++=12.5%
% ^zz++++=EXTRAWORD
autochoric ^jj++++=autochoric.
. ^zz++++=EXTRAWORD
Zoochory ^np+++??+=Zoochory
plays ^vbz++++=plays
a ^at++++=a
significant ^jj+atrb+++=significant
role ^nn++++=role
in ^in++++=in
maintaining ^xvbg+++xvbg+=maintaining
interactions ^nns+nom+++=interactions
between ^in++++=between
fauna ^nn++++=fauna
and ^cc++++=and
flora ^np++++=flora,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
contributing ^jj+++xvbg+=contributing
to ^in++++=to
the ^ati++++=the
conservation ^nn+nom+++=conservation
and ^cc++++=and
ecological ^jj+atrb+++=ecological
functionality ^nn+nom+++=functionality
of ^in++++=of
forest ^nn++++=forest
fragments ^nns+nom+++=fragments
( ^zz++++=(Garc
garc ^nn+++??+=EXTRAWORD
a ^at++++=a
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2011 ^cd++++=2011).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^rb++++=In
general ^rb"++++=general,
, ^zz++++=EXTRAWORD
zoochoric ^jj+atrb+++=zoochoric
dispersal ^nn+nom+++=dispersal
is ^vbz+bez+vrb++=is
predominant ^jj+pred+++=predominant
in ^in++++=in
well ^rb++++=well-preserved
- ^zz++++=EXTRAWORD
preserved ^xvbn+++xvbn+=EXTRAWORD
fragments ^nns+nom+++=fragments
and ^cc++++=and
large ^jj+atrb+++=large
areas ^nns++++=areas
of ^in++++=of
tropical ^jj+atrb+++=tropical
forest ^nn++++=forest
( ^zz++++=(Sansevero
sansevero ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2011 ^cd++++=2011;
; ^zz++++=EXTRAWORD
Jesus ^np++++=Jesus
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2012 ^cd++++=2012).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
that ^dt+dem+++=that
the ^ati++++=the
study ^nn++++=study
area ^nn++++=area
is ^vbz+bez+vrb++=is
a ^at++++=a
fragment ^nn+nom+++=fragment
with ^in++++=with
minimal ^jj+atrb+++=minimal
anthropogenic ^nn++++=anthropogenic
disturbance ^nn+nom+++=disturbance,
, ^zz++++=EXTRAWORD
the ^ati++++=the
high ^jj+atrb+++=high
proportion ^nn+nom+++=proportion
of ^in++++=of
zoochoric ^jj+atrb+++=zoochoric
species ^nns++++=species
suggests ^vbz+vpub+++=suggests
a ^at++++=a
relatively ^rb++++=relatively
good ^jj+atrb+++=good
state ^nn++++=state
of ^in++++=of
conservation ^nn+nom+++=conservation.
. ^zz++++=EXTRAWORD
Similar ^jj+atrb+++=Similar
results ^nns++++=results
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
reported ^vpsv++agls+xvbnx+=reported
in ^in++++=in
other ^ap++++=other
studies ^nns++++=studies
of ^in++++=of
semideciduous ^jj+atrb+++=semideciduous
forest ^nn++++=forest
remnants ^nns+nom+++=remnants,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
more ^ql++++=more
than ^cs+sub+++=than
half ^abn++++=half
of ^in++++=of
the ^ati++++=the
sampled ^jj+atrb++xvbn+=sampled
individuals ^nns+nom+++=individuals
rely ^vb++++=rely
on ^in++++=on
animal ^nn++++=animal-mediated
- ^zz++++=EXTRAWORD
mediated ^jj+atrb++xvbn+=EXTRAWORD
dispersal ^nn+nom+++=dispersal
( ^zz++++=(Silva
silva ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2019 ^cd++++=2019;
; ^zz++++=EXTRAWORD
neto ^np++++=Neto
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
