Although ^cs+con+++=Although
previous ^jj+atrb+++=previous
research ^nn++++=research
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
selfie ^nn+++??+=selfie
behavior ^nn++++=behavior
may ^md+pos+++=may
develop ^vb++++=develop
into ^in++++=into
an ^at++++=an
addictive ^jj+atrb+++=addictive
pattern ^nn++++=pattern
( ^zz++++=(Kaur
kaur ^nn+++??+=EXTRAWORD
and ^cc++++=and
Vig ^np+++??+=Vig,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
Kela ^np+++??+=Kela
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017;
; ^zz++++=EXTRAWORD
Shah ^npt++++=Shah,
, ^zz++++=EXTRAWORD
2015 ^cd++++=2015;
; ^zz++++=EXTRAWORD
Singh ^np++++=Singh
and ^cc++++=and
Lippmann ^np+++??+=Lippmann,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017;
; ^zz++++=EXTRAWORD
Griffiths ^np++++=Griffiths
and ^cc++++=and
Balakrishnan ^np+nom++??+=Balakrishnan,
, ^zz++++=EXTRAWORD
2018 ^cd++++=2018),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
specific ^jj+atrb+++=specific
positive ^jj+atrb+++=positive
or ^cc+phrs+++=or
negative ^jj+atrb+++=negative
impacts ^nns+++??+=impacts
of ^in++++=of
this ^dt+dem+++=this
behavior ^nn++++=behavior
remain ^vb++++=remain
insufficiently ^rb++++=insufficiently
explored ^vbd+++xvbn+=explored.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
several ^ap++++=several
instruments ^nns+nom+++=instruments
and ^cc++++=and
studies ^nns++++=studies
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
developed ^vpsv++agls+xvbnx+=developed
in ^in++++=in
Brazil ^np++++=Brazil
to ^to++++=to
assess ^vbi++++=assess
problematic ^jj+atrb+++=problematic
internet ^nn+++??+=internet
use ^nn++++=use
and ^cc++++=and
its ^pp$+it+++=its
effects ^nns++++=effects
on ^in++++=on
individuals ^nns+nom+++=individuals,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
best ^nn++++=best
of ^in++++=of
our ^pp$+pp1+++=our
knowledge ^nn++++=knowledge,
, ^zz++++=EXTRAWORD
no ^at++++=no
Brazilian ^jj+atrb+++=Brazilian
research ^nn++++=research
specifically ^rb++++=specifically
addressing ^vbg+++xvbg+=addressing
selfie ^nn+++??+=selfie-taking
- ^zz++++=EXTRAWORD
taking ^vbg+++xvbg+=EXTRAWORD
behavior ^nn++++=behavior.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
gap ^nn++++=gap
in ^in++++=in
the ^ati++++=the
literature ^nn++++=literature
may ^md+pos+++=may
be ^vb+be+aux++=be
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
the ^ati++++=the
lack ^nn++++=lack
of ^in++++=of
a ^at++++=a
validated ^jj+atrb++xvbn+=validated
instrument ^nn+nom+++=instrument
for ^in++++=for
assessing ^vbg+++xvbg+=assessing
selfie ^jj+atrb+++=selfie
behavior ^nn++++=behavior
in ^in++++=in
the ^ati++++=the
brazilian ^jj+atrb+++=Brazilian
context ^nn++++=context.
. ^zz++++=EXTRAWORD
