Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
is ^vbz+bez+aux++=is
characterized ^vpsv++by+xvbnx+=characterized
by ^in++++=by
its ^pp$+it+++=its
epigeous ^jj++++=epigeous,
, ^zz++++=EXTRAWORD
globose ^nn+++??+=globose
basidiomata ^nn+++??+=basidiomata
and ^cc++++=and
echinate ^nn+nom+++=echinate
basidiospores ^nns+++??+=basidiospores,
, ^zz++++=EXTRAWORD
as ^in++++=as
described ^nn++++=described
by ^in++++=by
campi ^np++++=Campi
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2015a).
2015a ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
