Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
is ^vbz+bez+aux++=is
distinguished ^vpsv++by+xvbnx+=distinguished
by ^in++++=by
its ^pp$+it+++=its
obovoid ^nn+++??+=obovoid,
, ^zz++++=EXTRAWORD
perforate ^nn+nom+++=perforate
receptacle ^nn+++??+=receptacle,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
ranges ^nns++++=ranges
in ^in++++=in
color ^nn++++=color
from ^in++++=from
white ^jj++++=white
to ^in++++=to
yellowish ^jj++++=yellowish
and ^cc++++=and
exhibits ^nns++++=exhibits
isodiametric ^jj+atrb+++=isodiametric
meshes ^nns+++??+=meshes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
receptacle ^nn+++??+=receptacle
arms ^nns++++=arms
are ^vb+ber+aux++=are
joined ^vpsv++agls+xvbnx+=joined
at ^rb++++=at
the ^ati++++=the
base ^nn++++=base,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
prominent ^jj+atrb+++=prominent
yellow ^jj+atrb+++=yellow
basal ^jj+atrb+++=basal
mycelium ^nn+++??+=mycelium
is ^vbz+bez+aux++=is
present ^vb++++=present.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
gleba ^nn+++??+=gleba
is ^vbz+bez+aux++=is
restricted ^vpsv++agls+xvbnx+=restricted
to ^in++++=to
glebifers ^nns+nom+++=glebifers
located ^vwbn+++xvbn+=located
on ^in++++=on
the ^ati++++=the
inner ^jjb+atrb+++=inner
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
intersections ^nns+nom+++=intersections
of ^in++++=of
the ^ati++++=the
arms ^nns++++=arms
( ^zz++++=(Dring
dring ^jj++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
1971 ^cd+date+++=1971;
; ^zz++++=EXTRAWORD
dring ^np++++=Dring
1980 ^cd+date+++=1980).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
