Understanding ^nvbg+++xvbg+=Understanding
the ^ati++++=the
distribution ^nn+nom+++=distribution
of ^in++++=of
these ^dt+dem+++=these
impacts ^nns+++??+=impacts
across ^in+pl+++=across
the ^ati++++=the
labor ^nn++++=labor
market ^nn++++=market
is ^vbz+bez+vrb++=is
crucial ^jj+pred+++=crucial
for ^in++++=for
informing ^xvbg+++xvbg+=informing
policy ^nn++++=policy
decisions ^nns++++=decisions.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
analysis ^nn++++=analysis
is ^vbz+bez+vrb++=is
particularly ^rb++++=particularly
relevant ^jj++++=relevant
given ^jj+++xvbn+=given
the ^ati++++=the
high ^jj+atrb+++=high
levels ^nns++++=levels
of ^in++++=of
informality ^nn+nom+++=informality,
, ^zz++++=EXTRAWORD
prevalence ^nn+nom+++=prevalence
of ^in++++=of
low ^jj++++=low-wage
- ^zz++++=EXTRAWORD
wage ^nn++++=EXTRAWORD
employment ^nn+nom+++=employment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
precarious ^jj+atrb+++=precarious
living ^jj+atrb++xvbg+=living
conditions ^nns+nom+++=conditions
experienced ^vwbn+++xvbn+=experienced
by ^in++++=by
a ^at++++=a
significant ^jj+atrb+++=significant
portion ^nn+nom+++=portion
of ^in++++=of
the ^ati++++=the
population ^nn+nom+++=population
prior ^in+cmpx+++=prior
to ^in"++++=to
the ^ati++++=the
pandemic ^nn++++=pandemic.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
first ^od++++=first
quarter ^nn++++=quarter
of ^in++++=of
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
19 ^cd++++=19%
% ^zz++++=EXTRAWORD
of ^in++++=of
employed ^xvbn+++xvbn+=employed
individuals ^nns+nom+++=individuals
in ^in++++=in
Brazil ^np++++=Brazil
were ^vbd+bed+vrb++=were
wage ^nn++++=wage
workers ^nns+nom+++=workers
without ^in++++=without
formal ^jj+atrb+++=formal
contracts ^nns++++=contracts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
21 ^cd++++=21%
% ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
employers ^nns+nom+++=employers
or ^cc++++=or
self ^nn++++=self-employed
- ^zz++++=EXTRAWORD
employed ^xvbn+++xvbn+=EXTRAWORD
individuals ^nns+nom+++=individuals
not ^xnot++not++=not
registered ^jj+++xvbn+=registered
with ^in++++=with
the ^ati++++=the
National ^jj+atrb+++=National
Registry ^nn++++=Registry
of ^in++++=of
Legal ^jj+atrb+++=Legal
Entities ^nns+nom+++=Entities
( ^zz++++=(CNPJ)
cnpj ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(Continuous
continuous ^jj+atrb+++=EXTRAWORD
National ^jj+atrb+++=National
Household ^nn++++=Household
Sample ^nn++++=Sample
Survey ^nn++++=Survey
Ibge ^np+++??+=IBGE/PNADC,
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
in ^in++++=in
2018 ^cd++++=2018,
, ^zz++++=EXTRAWORD
25.3 ^cd++++=25.3%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
population ^nn+nom+++=population
had ^vb+hv+vrb++=had
incomes ^nns++++=incomes
below ^in+pl+++=below
Us$5.50 ^np+++??+=US$5.50
Ppp ^np+++??+=PPP
per ^nnu++++=per
day ^nn++++=day,
, ^zz++++=EXTRAWORD
the ^ati++++=the
threshold ^nn++++=threshold
suggested ^vwbn+vpub++xvbn+=suggested
by ^in++++=by
the ^ati++++=the
World ^nn++++=World
Bank ^nn++++=Bank
for ^in++++=for
classifying ^xvbg+++xvbg+=classifying
individuals ^nns+nom+++=individuals
as ^ql++++=as
living ^jj+++xvbg+=living
in ^in++++=in
poverty ^nn++++=poverty
in ^in++++=in
upper ^jjb++++=upper-middle-income
- ^zz++++=EXTRAWORD
middle ^jjb++++=EXTRAWORD
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
countries ^nns++++=countries
( ^zz++++=(IBGE,
ibge ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
