Regarding ^in++++=Regarding
species ^nns++++=species
diversity ^nn+nom+++=diversity,
, ^zz++++=EXTRAWORD
the ^ati++++=the
municipalities ^nns+nom+++=municipalities
with ^in++++=with
the ^ati++++=the
highest ^jjt+atrb+++=highest
numbers ^nns+nom+++=numbers
of ^in++++=of
recorded ^vbn+vpub+tht0+xvbn+=recorded
species ^nns++++=species
were ^vbd+bed+vrb++=were
Assis ^np+++??+=Assis
Brasil ^np+++??+=Brasil
( ^zz++++=(78),
78 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Rio ^np+++??+=Rio
Branco ^np+++??+=Branco
( ^zz++++=(68),
68 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Xapuri ^np+++??+=Xapuri
( ^zz++++=(58),
58 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Bujari ^np+++??+=Bujari/Xapuri/Rio
Branco ^np+++??+=Branco
( ^zz++++=(50),
50 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Cruzeiro ^np+++??+=Cruzeiro
do ^vb+do+vrb++=do
Sul ^np+++??+=Sul
( ^zz++++=(30),
30 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Brasil ^np+++??+=Brasil
ia ^nn+++??+=ia
( ^zz++++=(20),
20 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Feij ^np+++??+=Feij
( ^zz++++=(14),
14 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
acrel ^np++++=Acrel
ndia ^nn++++=ndia
( ^zz++++=(12)
12 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
