Guided ^vpsv++by+xvbn+=Guided
by ^in++++=by
the ^ati++++=the
Community ^nn+nom+++=Community
of ^in++++=of
Inquiry ^nn++++=Inquiry
( ^zz++++=(CoI)
coi ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
model ^nn++++=model,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
embedded ^jj+atrb++xvbn+=embedded
correlational ^jj+atrb+++=correlational
study ^nn++++=study
aims ^vb++++=aims
to ^to+vcmp+++=to:
: ^zz++++=EXTRAWORD
a ^at++++=a)
) ^zz++++=EXTRAWORD
identify ^vb++++=identify
the ^ati++++=the
types ^nns++++=types
of ^in++++=of
emojis ^nn++++=emojis
used ^md"++pmd"++=used
to ^to++++=to
support ^vb++++=support
cognitive ^nn++++=cognitive,
, ^zz++++=EXTRAWORD
teaching ^vbg+vsua++xvbg+=teaching,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
social ^jj+atrb+++=social
presences ^nns+nom+++=presences
in ^in++++=in
an ^at++++=an
eight ^cd++++=eight-week
- ^zz++++=EXTRAWORD
week ^nn++++=EXTRAWORD
continuing ^vwbg+++xvbg+=continuing
education ^nn+nom+++=education
course ^nn++++=course
on ^in++++=on
mobile ^jj+atrb+++=mobile
device ^nn++++=device
and ^cc++++=and
application ^nn+nom+++=application
use ^nn++++=use
via ^in++++=via
Whatsapp ^np+++??+=WhatsApp;
; ^zz++++=EXTRAWORD
b ^zz++++=b)
) ^zz++++=EXTRAWORD
examine ^vb++++=examine
the ^ati++++=the
relationship ^nn+nom+++=relationship
between ^in++++=between
participants ^nns+nom+++=participants
attitudes ^nns++++=attitudes
and ^cc++++=and
their ^pp$+pp3+++=their
use ^nn++++=use
of ^in++++=of
emojis ^nns+++??+=emojis
for ^in++++=for
cognitive ^nn++++=cognitive,
, ^zz++++=EXTRAWORD
teaching ^vbg+vsua++xvbg+=teaching,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
social ^jj+atrb+++=social
presences ^nns+nom+++=presences
during ^in++++=during
the ^ati++++=the
course ^nn++++=course;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
c ^zz++++=c)
) ^zz++++=EXTRAWORD
analyze ^nn+++??+=analyze
the ^ati++++=the
extent ^nn++++=extent
to ^to++++=to
which ^whp+who+++=which
participants ^nns+nom+++=participants
age ^nn++++=age
and ^cc++++=and
gender ^nn++++=gender
are ^vb+ber+aux++=are
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
and ^cc++++=and
may ^md+pos+++=may
account ^vb++++=account
for ^in++++=for
their ^pp$+pp3+++=their
emoji ^nn+++??+=emoji
use ^nn++++=use.
. ^zz++++=EXTRAWORD
To ^to++++=To
contextualize ^vbi++++=contextualize
these ^dt+dem+++=these
objectives ^nns++++=objectives,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
paper ^nn++++=paper
provides ^vbz+vsua+++=provides
a ^at++++=a
concise ^jj+atrb+++=concise
overview ^nn++++=overview
of ^in++++=of
the ^ati++++=the
coi ^np++++=CoI
model ^nn++++=model.
. ^zz++++=EXTRAWORD
