To ^in++++=To
account ^nn++++=account
for ^in++++=for
urban ^jj+atrb+++=urban
infrastructure ^nn+++??+=infrastructure,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
calculate ^nn+nom+++=calculate
the ^ati++++=the
minimum ^jj+atrb+++=minimum
Euclidean ^jj+atrb+++=Euclidean
distance ^nn+nom+++=distance
from ^in++++=from
each ^dt++++=each
property ^nn++++=property
to ^in++++=to
various ^jj+atrb+++=various
transportation ^nn+nom+++=transportation
sites ^nns++++=sites,
, ^zz++++=EXTRAWORD
including ^in++++=including
train ^nn++++=train
and ^cc++++=and
subway ^nn++++=subway
stations ^nns+nom+++=stations,
, ^zz++++=EXTRAWORD
main ^jjb+atrb+++=main
avenues ^nns++++=avenues,
, ^zz++++=EXTRAWORD
bus ^nn++++=bus
corridors ^nns++++=corridors,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
highways ^nns++++=highways,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
to ^in++++=to
a ^at++++=a
range ^nn++++=range
of ^in++++=of
amenities ^nns+nom+++=amenities
such ^abl++++=such
as ^ql++++=as
urban ^jj+atrb+++=urban
parks ^nns++++=parks,
, ^zz++++=EXTRAWORD
libraries ^nns++++=libraries,
, ^zz++++=EXTRAWORD
cultural ^jj+atrb+++=cultural
centers ^nns+nom+++=centers,
, ^zz++++=EXTRAWORD
art ^nn++++=art
galleries ^nns+nom+++=galleries,
, ^zz++++=EXTRAWORD
theaters ^nns+nom+++=theaters,
, ^zz++++=EXTRAWORD
concert ^nn++++=concert
halls ^nns++++=halls,
, ^zz++++=EXTRAWORD
cinemas ^nns++++=cinemas,
, ^zz++++=EXTRAWORD
shopping ^nvbg+++xvbg+=shopping
malls ^nns+++??+=malls,
, ^zz++++=EXTRAWORD
race ^nn++++=race
stadiums ^nns+++??+=stadiums,
, ^zz++++=EXTRAWORD
resorts ^nns++++=resorts,
, ^zz++++=EXTRAWORD
sports ^nns++++=sports
centers ^nns+nom+++=centers,
, ^zz++++=EXTRAWORD
clubs ^nns++++=clubs,
, ^zz++++=EXTRAWORD
sports ^nns++++=sports
courts ^nns++++=courts,
, ^zz++++=EXTRAWORD
soccer ^nn++++=soccer
stadiums ^nns+++??+=stadiums,
, ^zz++++=EXTRAWORD
elementary ^jj+atrb+++=elementary
and ^cc+phrs+++=and
high ^jj+atrb+++=high
schools ^nns++++=schools,
, ^zz++++=EXTRAWORD
hospitals ^nns+nom+++=hospitals,
, ^zz++++=EXTRAWORD
health ^nn++++=health
centers ^nns+nom+++=centers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
favelas ^nns++++=favelas.
. ^zz++++=EXTRAWORD
