A ^at++++=A
descriptive ^jj+atrb+++=descriptive
analysis ^nn++++=analysis
of ^in++++=of
housing ^nn++++=housing
prices ^nns++++=prices,
, ^zz++++=EXTRAWORD
employment ^nn+nom+++=employment
specialization ^nn+nom+++=specialization,
, ^zz++++=EXTRAWORD
wages ^nns++++=wages,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
education ^nn+nom+++=education
offers ^vbz++++=offers
a ^at++++=a
comprehensive ^jj++++=comprehensive
understanding ^jj+++xvbg+=understanding
of ^in++++=of
each ^ppls++++=each
Sbd ^np+++??+=SBD,
, ^zz++++=EXTRAWORD
highlighting ^jj+++xvbg+=highlighting
the ^ati++++=the
heterogeneity ^nn+nom+++=heterogeneity
among ^in++++=among
sub ^nn++++=sub-centers.
- ^zz++++=EXTRAWORD
centers ^nns+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
Across ^in+pl+++=Across
all ^abn++++=all
identified ^jj+++xvbn+=identified
Sbds ^np+++??+=SBDs,
, ^zz++++=EXTRAWORD
the ^ati++++=the
average ^jj+atrb+++=average
housing ^nn++++=housing
price ^nn++++=price
per ^nnu++++=per
square ^npl++++=square
meter ^nn++++=meter
is ^vbz+bez+vrb++=is
R ^zz++++=R$
$ ^zz++++=EXTRAWORD
8,230.00 ^cd++++=8,230.00,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
standard ^jj+atrb+++=standard
deviation ^nn+nom+++=deviation
of ^in++++=of
R ^zz++++=R$
$ ^zz++++=EXTRAWORD
2,295.00 ^cd++++=2,295.00.
. ^zz++++=EXTRAWORD
Housing ^nn++++=Housing
prices ^nns++++=prices
are ^vb+ber+vrb++=are
highest ^jjt+pred+++=highest
in ^in++++=in
Pinheiros ^np+++??+=Pinheiros
compared ^vbd+++xvbn+=compared
to ^in++++=to
other ^ap++++=other
sub ^nn++++=sub-centers.
- ^zz++++=EXTRAWORD
centers ^nns+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
As ^in++++=As
shown ^nn++++=shown
in ^in++++=in
Figure ^nn++++=Figure
4 ^zz++++=4,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
positive ^jj+atrb+++=positive
correlation ^nn+nom+++=correlation
between ^in++++=between
average ^jj+atrb+++=average
housing ^nn++++=housing
prices ^nns++++=prices
per ^nnu++++=per
square ^npl++++=square
meter ^nn++++=meter
and ^cc++++=and
distance ^nn+nom+++=distance
from ^in++++=from
the ^ati++++=the
Cbd ^np+++??+=CBD,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
contrasts ^nns++++=contrasts
with ^in++++=with
the ^ati++++=the
negative ^jj+atrb+++=negative
correlation ^nn+nom+++=correlation
predicted ^vwbn+++xvbn+=predicted
by ^in++++=by
monocentric ^jj+atrb+++=monocentric
models ^nns++++=models.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
observed ^jj+atrb++xvbn+=observed
pattern ^nn++++=pattern
supports ^vbz++++=supports
the ^ati++++=the
existence ^nn+nom+++=existence
of ^in++++=of
sub ^nn++++=sub-centers
- ^zz++++=EXTRAWORD
centers ^nns+nom+++=EXTRAWORD
within ^in++++=within
the ^ati++++=the
urban ^jj+atrb+++=urban
structure ^nn++++=structure.
. ^zz++++=EXTRAWORD
