Tests ^nns++++=Tests
on ^in++++=on
the ^ati++++=the
residuals ^nns+nom+++=residuals
using ^vwbg+++xvbg+=using
Moran ^np+++??+=Moran
s ^zz++++=s
I ^pp1a+pp1+++=I
indicate ^nn+nom+++=indicate
the ^ati++++=the
absence ^nn+nom+++=absence
of ^in++++=of
spatial ^jj+atrb+++=spatial
autocorrelation ^nn+nom+++=autocorrelation
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
4 ^zz++++=4,
, ^zz++++=EXTRAWORD
columns ^nns++++=columns
1 ^zz++++=1-4).
- ^zz++++=EXTRAWORD
4 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
Slxb ^np+++??+=SLXb
estimator ^nn++++=estimator
is ^vbz+bez+aux++=is
applied ^vpsv++agls+xvbnx+=applied
to ^in++++=to
address ^nns+nom+++=address
potential ^nn++++=potential
spatial ^jj+atrb+++=spatial
dependence ^nn+nom+++=dependence
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
5 ^zz++++=5,
, ^zz++++=EXTRAWORD
columns ^nns++++=columns
9 ^zz++++=9-11),
- ^zz++++=EXTRAWORD
11 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
estimated ^jj+atrb++xvbn+=estimated
coefficients ^nns++++=coefficients
for ^in++++=for
the ^ati++++=the
overall ^jjb+atrb+++=overall
effect ^nn++++=effect
are ^vb+ber+vrb++=are
statistically ^rb++++=statistically
significant ^jj+pred+++=significant
but ^cc++++=but
theoretically ^rb++++=theoretically
inconsistent ^jj++++=inconsistent,
, ^zz++++=EXTRAWORD
suggesting ^vbg+vpub++xvbg+=suggesting
that ^tht+vcmp+++=that
land ^nn++++=land
prices ^nns++++=prices
are ^vb+ber+vrb++=are
higher ^jjr+pred+++=higher
at ^in++++=at
the ^ati++++=the
urban ^jj+atrb+++=urban
periphery ^nn+nom+++=periphery
an ^at++++=an
outcome ^nn++++=outcome
not ^xnot++not++=not
supported ^vpsv++by+xvbn+=supported
by ^in++++=by
empirical ^jj+atrb+++=empirical
observation ^nn+nom+++=observation.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
null ^jj+atrb+++=null
hypothesis ^nn++++=hypothesis
of ^in++++=of
spatial ^jj+atrb+++=spatial
randomness ^nns+nom+++=randomness
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
rejected ^vpsv++agls+xvbnx+=rejected
in ^in++++=in
these ^dt+dem+++=these
models ^nns++++=models.
. ^zz++++=EXTRAWORD
The ^ati++++=The
only ^ap+down+++=only
exception ^nn+nom+++=exception
is ^vbz+bez+aux++=is
observed ^vpsv++agls+xvbnx+=observed
in ^in++++=in
the ^ati++++=the
log ^&fo++++=log-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
functional ^jj+atrb+++=functional
form ^nn++++=form
model ^nn++++=model
that ^tht+rel+subj++=that
includes ^vb++++=includes
a ^at++++=a
quadratic ^jj+atrb+++=quadratic
term ^nn++++=term
for ^in++++=for
distance ^nn+nom+++=distance
from ^in++++=from
the ^ati++++=the
Cbd ^np+++??+=CBD,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
estimated ^jj+atrb++xvbn+=estimated
global ^jj+atrb+++=global
effect ^nn++++=effect
aligns ^nns+++??+=aligns
with ^in++++=with
theoretical ^jj+atrb+++=theoretical
expectations ^nns+nom+++=expectations
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
5 ^zz++++=5,
, ^zz++++=EXTRAWORD
column ^nn++++=column
12 ^cd++++=12).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
counterintuitive ^nn++++=counterintuitive
findings ^nns++++=findings
prompt ^jj+atrb+++=prompt
further ^jjb+atrb+++=further
investigation ^nn+nom+++=investigation
into ^in++++=into
the ^ati++++=the
second ^od++++=second
hypothesis ^nn++++=hypothesis:
: ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
the ^ati++++=the
unexpected ^jj++++=unexpected
and ^cc++++=and
statistically ^rb++++=statistically
non ^&fw++++=non-significant
- ^zz++++=EXTRAWORD
significant ^jj+atrb+++=EXTRAWORD
results ^nns++++=results
for ^in++++=for
the ^ati++++=the
Cbd ^np+++??+=CBD
coefficients ^nns++++=coefficients
are ^vb+ber+vrb++=are
attributable ^jj+pred+++=attributable
to ^in++++=to
the ^ati++++=the
omission ^nn++++=omission
of ^in++++=of
controls ^nns++++=controls
for ^in++++=for
sub ^nn++++=sub-central
- ^zz++++=EXTRAWORD
central ^jj+atrb+++=EXTRAWORD
business ^nns+nom+++=business
districts ^nns++++=districts
( ^zz++++=(SBDs).
sbds ^nns++++=EXTRAWORD
). ^nn++++=EXTRAWORD
