While ^cs+sub+++=While
Beall ^np+++??+=Beall
did ^vbd+dod+aux++=did
not ^xnot++not++=not
specify ^vb+vsua+++=specify
the ^ati++++=the
reasons ^nns++++=reasons
for ^in++++=for
including ^in++++=including
individual ^jj+atrb+++=individual
publishers ^nns+nom+++=publishers
or ^cc++++=or
journals ^nns+nom+++=journals
on ^in++++=on
his ^pp$+pp3+++=his
list ^nn++++=list,
, ^zz++++=EXTRAWORD
Cabells ^np+++??+=Cabells
Predatory ^jj+atrb+++=Predatory
Reports ^nns++++=Reports
( ^zz++++=(2021)
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
identifies ^vbz++++=identifies
specific ^jj+atrb+++=specific
violations ^nns+nom+++=violations
for ^in++++=for
each ^dt++++=each
title ^nn++++=title
and ^cc++++=and
ranks ^nns++++=ranks
them ^pp3o+pp3+++=them
from ^in++++=from
severe ^jj++++=severe
to ^in++++=to
minor ^jj++++=minor.
. ^zz++++=EXTRAWORD
Cabells ^np+++??+=Cabells
list ^nn++++=list
of ^in++++=of
over ^in++++=over
60 ^cd++++=60
behavioral ^jj+atrb+++=behavioral
indicators ^nns++++=indicators
for ^in++++=for
journals ^nns+nom+++=journals
is ^vbz+bez+aux++=is
described ^vpsv++agls+xvbnx+=described
as ^ql++++=as
evidence ^nn+nom+++=evidence
of ^in++++=of
misconduct ^nn++++=misconduct,
, ^zz++++=EXTRAWORD
fraudulent ^jj+atrb+++=fraudulent
operations ^nns+nom+++=operations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
probable ^jj+atrb+++=probable
threats ^nns++++=threats
( ^zz++++=(Cabells,
cabells ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
n.d. ^nn+++??+=n.d.).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Among ^in++++=Among
the ^ati++++=the
journals ^nns+nom+++=journals
using ^vwbg+++xvbg+=using
Ojs ^np+++??+=OJS
included ^vbd+++xvbn+=included
in ^in++++=in
the ^ati++++=the
Cabells ^np+++??+=Cabells
list ^nn++++=list,
, ^zz++++=EXTRAWORD
an ^at++++=an
average ^nn+nom+++=average
of ^in++++=of
4.3 ^cd++++=4.3
violations ^nns+nom+++=violations
per ^in++++=per
journal ^nn++++=journal
was ^vbd+bedz+aux++=was
identified ^vpsv++agls+xvbnx+=identified.
. ^zz++++=EXTRAWORD
The ^ati++++=The
most ^ql+emph+++=most
common ^jj+atrb+++=common
violation ^nn+nom+++=violation
was ^vbd+bedz+vrb++=was
the ^ati++++=the
absence ^nn+nom+++=absence
of ^in++++=of
a ^at++++=a
digital ^jj+atrb+++=digital
preservation ^nn+nom+++=preservation
policy ^nn++++=policy,
, ^zz++++=EXTRAWORD
classified ^xvbn+++xvbn+=classified
as ^ql++++=as
a ^at++++=a
moderate ^jj+atrb+++=moderate
violation ^nn+nom+++=violation,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
noted ^vpsv++agls+xvbnx+=noted
in ^in++++=in
107 ^cd++++=107
journals ^nns+nom+++=journals,
, ^zz++++=EXTRAWORD
