During ^in++++=During
the ^ati++++=the
inserted ^jj+atrb++xvbn+=inserted
sequence ^nn+nom+++=sequence,
, ^zz++++=EXTRAWORD
the ^ati++++=the
original ^jj+atrb+++=original
question ^nn+nom+++=question
maintains ^vbz+vpub+++=maintains
its ^pp$+it+++=its
transition ^nn+nom+++=transition
relevance ^nn+nom+++=relevance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
the ^ati++++=the
second ^od++++=second
speaker ^nn++++=speaker
does ^vbz+doz+aux++=does
not ^xnot++not++=not
subsequently ^rb+tm+++=subsequently
provide ^vb+vsua+++=provide
an ^at++++=an
answer ^nn++++=answer,
, ^zz++++=EXTRAWORD
the ^ati++++=the
absence ^nn+nom+++=absence
of ^in++++=of
a ^at++++=a
response ^nn++++=response
is ^vbz+bez+vrb++=is
as ^ql++++=as
apparent ^jj++++=apparent
as ^ql++++=as
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
without ^in++++=without
the ^ati++++=the
intervening ^jj+atrb++xvbg+=intervening
sequence ^nn+nom+++=sequence.
. ^zz++++=EXTRAWORD
The ^ati++++=The
questioner ^nn+nom+++=questioner
can ^md+pos+++=can
address ^nns+nom+++=address
the ^ati++++=the
lack ^nn++++=lack
of ^in++++=of
an ^at++++=an
answer ^nn++++=answer
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
manner ^nn++++=manner
in ^in++++=in
both ^abx++++=both
cases ^nns++++=cases.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
supports ^vbz++++=supports
the ^ati++++=the
argument ^nn+nom+++=argument
that ^tht+vcmp+++=that
adjacency ^nn+++??+=adjacency
pairs ^nns++++=pairs
function ^nn+nom+++=function
as ^ql++++=as
normative ^jj+atrb+++=normative
structures ^nns++++=structures
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
occurrence ^nn+nom+++=occurrence
of ^in++++=of
the ^ati++++=the
second ^od++++=second
pair ^nn++++=pair
part ^nn++++=part
is ^vbz+bez+aux++=is
expected ^vpsv++agls+xvbnx+=expected.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
other ^ap++++=other
sequences ^nns+nom+++=sequences
can ^md+pos+++=can
be ^vb+be+aux++=be
considered ^vpsv++agls+xvbnx+=considered
as ^ql++++=as
being ^xvbg+++xvbg+=being
inserted ^vbd+++xvbn+=inserted
between ^in++++=between
the ^ati++++=the
initial ^jj+atrb+++=initial
pair ^nn++++=pair
part ^nn++++=part
and ^cc++++=and
the ^ati++++=the
anticipated ^vbn+vprv+++=anticipated
second ^od++++=second
pair ^nn++++=pair
part ^nn++++=part.
. ^zz++++=EXTRAWORD
