Acetogenins ^np+++??+=Acetogenins
are ^vb+ber+vrb++=are
natural ^jj+atrb+++=natural
compounds ^nns++++=compounds
that ^tht+rel+subj++=that
demonstrate ^nn+nom+++=demonstrate
significantly ^rb++++=significantly
higher ^jjr+atrb+++=higher
antitumor ^nn++++=antitumor
activity ^nn+nom+++=activity
compared ^vbd+++xvbn+=compared
to ^in++++=to
several ^ap++++=several
commonly ^rb++++=commonly
used ^vbd+++xvbn+=used
chemotherapeutic ^jj+atrb+++=chemotherapeutic
agents ^nns++++=agents.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
substances ^nns+nom+++=substances
are ^vb+ber+aux++=are
exclusively ^rb++splt++=exclusively
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
species ^nn++++=species
of ^in++++=of
the ^ati++++=the
Annona ^np+++??+=Annona
genus ^nns+++??+=genus,
, ^zz++++=EXTRAWORD
including ^in++++=including
custard ^nn+++??+=custard
apple ^nn++++=apple
( ^zz++++=(Annona
annona ^nn+++??+=EXTRAWORD
cherimola ^nn+++??+=cherimola
Mill. ^np+++??+=Mill.),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
soursop ^nn+++??+=soursop
( ^zz++++=(Annona
annona ^nn+++??+=EXTRAWORD
muricata ^nn+++??+=muricata
L. ^np+++??+=L.),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sugar ^nn++++=sugar
apple ^nn++++=apple
( ^zz++++=(Annona
annona ^nn+++??+=EXTRAWORD
squamosa ^nn+++??+=squamosa
L. ^np+++??+=L.).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
biological ^jj+atrb+++=biological
activity ^nn+nom+++=activity
of ^in++++=of
acetogenins ^nns+++??+=acetogenins
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
confirmed ^vpsv++agls+xvbnx+=confirmed
through ^in++++=through
in ^in++++=in
vitro ^nn+++??+=vitro
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
animal ^nn++++=animal
experiments ^nns+nom+++=experiments,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
simulations ^nns+nom+++=simulations
of ^in++++=of
the ^ati++++=the
human ^jj+atrb+++=human
digestive ^nn++++=digestive
system ^nn++++=system
( ^zz++++=(Guti
guti ^nn+++??+=EXTRAWORD
rrez ^nn+++??+=rrez
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
Le ^&fw++++=Le
n ^zz++++=n,
, ^zz++++=EXTRAWORD
P ^zz++++=P
jaro ^nn+++??+=jaro
& ^zz++++=&
Granados ^np+++??+=Granados
2020 ^cd++++=2020;
; ^zz++++=EXTRAWORD
Naik ^np+++??+=Naik,
, ^zz++++=EXTRAWORD
Dessai ^np+++??+=Dessai
 ^zz++++=&
Sellappan ^np+nom+++=Sellappan
021 ^cd++++=2021;
 ^zz++++=EXTRAWORD
Nayak ^np++++=Nayak
 ^zz++++=&
Hedge ^nn++++=Hedge
021 ^cd++++=2021).
	 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
