Regarding ^in++++=Regarding
spillover ^jjr+atrb+++=spillover
effects ^nns++++=effects,
, ^zz++++=EXTRAWORD
certain ^jj+atrb+++=certain
impulse ^nn++++=impulse-response
- ^zz++++=EXTRAWORD
response ^nn++++=EXTRAWORD
functions ^nns+nom+++=functions
indicated ^vbd+vprv++xvbn+=indicated
that ^tht+vcmp+++=that
these ^dt+dem+++=these
effects ^nns++++=effects
were ^vbd+bed+vrb++=were
more ^ql++++=more
pronounced ^jj+++xvbn+=pronounced
in ^in++++=in
the ^ati++++=the
post ^nn++++=post-crisis
- ^zz++++=EXTRAWORD
crisis ^nn++++=EXTRAWORD
period ^nn++++=period.
. ^zz++++=EXTRAWORD
In ^in++++=In
addition ^nn+nom+++=addition
to ^in++++=to
increasing ^jj+++xvbg+=increasing
net ^jjb+atrb+++=net
financial ^jj+atrb+++=financial
flows ^nns++++=flows
and ^cc++++=and
exerting ^vbg+++xvbg+=exerting
greater ^jjr+atrb+++=greater
pressure ^nn++++=pressure
on ^in++++=on
exchange ^nn++++=exchange
rate ^nn++++=rate
appreciation ^nn+nom+++=appreciation
compared ^vbd+++xvbn+=compared
to ^in++++=to
the ^ati++++=the
pre ^nn+++??+=pre-crisis
- ^zz++++=EXTRAWORD
crisis ^nn++++=EXTRAWORD
period ^nn++++=period,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
effects ^nns++++=effects
also ^rb++++=also
diminished ^jj+atrb++xvbn+=diminished
monetary ^jj+atrb+++=monetary
policy ^nn++++=policy
autonomy ^nn++++=autonomy
in ^in++++=in
other ^ap++++=other
emerging ^jj+atrb++xvbg+=emerging
markets ^nns++++=markets.
. ^zz++++=EXTRAWORD
The ^ati++++=The
regression ^nn++++=regression
results ^nns++++=results
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
spillover ^jjr+atrb+++=spillover
effects ^nns++++=effects
were ^vbd+bed+vrb++=were
more ^rbr++++=more
significant ^jj+pred+++=significant
for ^in++++=for
Latin ^jj+atrb+++=Latin
American ^jj+atrb+++=American
economies ^nns++++=economies
than ^in++++=than
for ^in++++=for
those ^dt+dem+++=those
in ^in++++=in
Asia ^np++++=Asia,
, ^zz++++=EXTRAWORD
primarily ^rb+down+++=primarily
because ^cs+cos+++=because
Latin ^jj+atrb+++=Latin
American ^jj+atrb+++=American
countries ^nns++++=countries
exhibit ^vb++++=exhibit
a ^at++++=a
higher ^jjr+atrb+++=higher
degree ^nn++++=degree
of ^in++++=of
financial ^jj+atrb+++=financial
openness ^nns+nom+++=openness
and ^cc++++=and
a ^at++++=a
greater ^jjr+atrb+++=greater
reliance ^nn+nom+++=reliance
on ^rp++++=on
bank ^npl++++=bank
flows ^vbz++++=flows
as ^ql++++=as
a ^at++++=a
source ^nn++++=source
of ^in++++=of
external ^jj+atrb+++=external
funding ^nn++++=funding.
. ^zz++++=EXTRAWORD
