Mescaline ^np+++??+=Mescaline
has ^vbz+hvz+aux++=has
attracted ^vprf+++xvbnx+=attracted
attention ^nn+nom+++=attention
for ^in++++=for
its ^pp$+it+++=its
potential ^jj+atrb+++=potential
pharmacological ^jj+atrb+++=pharmacological
applications ^nns+nom+++=applications
in ^in++++=in
the ^ati++++=the
treatment ^nn+nom+++=treatment
of ^in++++=of
headache ^nn++++=headache,
, ^zz++++=EXTRAWORD
depression ^nn++++=depression,
, ^zz++++=EXTRAWORD
obsessive ^jj+atrb+++=obsessive
disorders ^nns+nom+++=disorders,
, ^zz++++=EXTRAWORD
anxiety ^nn++++=anxiety,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
substance ^nn+nom+++=substance
use ^nn++++=use
disorders ^nns+nom+++=disorders,
, ^zz++++=EXTRAWORD
including ^in++++=including
alcohol ^nn++++=alcohol
dependence ^nn+nom+++=dependence.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
interest ^nn++++=interest
is ^vbz+bez+vrb++=is
primarily ^rb+down+++=primarily
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
substance ^nn+nom+++=substance's
's ^vbz+bez+vrb++0=EXTRAWORD
minimal ^jj+atrb+++=minimal
risk ^nn++++=risk
of ^in++++=of
dependence ^nn+nom+++=dependence
and ^cc++++=and
the ^ati++++=the
generally ^rb+down+++=generally
moderate ^jj++++=moderate
and ^cc++++=and
non ^&fw++++=non-life-threatening
- ^zz++++=EXTRAWORD
life ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
threatening ^jj+atrb+++=EXTRAWORD
nature ^nn++++=nature
of ^in++++=of
mescaline ^nn+++??+=mescaline
intoxication ^nn+nom+++=intoxication
( ^zz++++=(Dinis-Oliveira,
dinis ^nns+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
oliveira ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
lan ^np++++=Lan
a ^at++++=a,
, ^zz++++=EXTRAWORD
& ^zz++++=&
dias ^np++++=Dias,
, ^zz++++=EXTRAWORD
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
