A ^at++++=A
total ^nn++++=total
of ^in++++=of
69.1 ^cd++++=69.1%
% ^zz++++=EXTRAWORD
of ^in++++=of
respondents ^nns++++=respondents
indicated ^vbd+vprv++xvbn+=indicated
that ^tht+vcmp+++=that
their ^pp$+pp3+++=their
perception ^nn+nom+++=perception
of ^in++++=of
science ^nn+nom+++=science
improved ^vbd+++xvbn+=improved
as ^ql++++=as
a ^at++++=a
result ^nn++++=result
of ^in++++=of
the ^ati++++=the
pandemic ^nn++++=pandemic,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
23.1 ^cd++++=23.1%
% ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
no ^at++++=no
change ^nn++++=change
and ^cc++++=and
7.8 ^cd++++=7.8%
% ^zz++++=EXTRAWORD
stated ^vbn+vpub++xvbn+=stated
that ^tht+vcmp+++=that
their ^pp$+pp3+++=their
view ^nn++++=view
of ^in++++=of
science ^nn+nom+++=science
worsened ^vbd+++xvbn+=worsened.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
proportions ^nns+nom+++=proportions
were ^vbd+bed+vrb++=were
consistent ^jj+pred+++=consistent
among ^in++++=among
adolescents ^nns++++=adolescents
who ^whp+rel+subj++=who
previously ^rb+tm+++=previously
reported ^vbd+vpub++xvbn+=reported
either ^dtx++++=either
a ^at++++=a
positive ^jj+atrb+++=positive
or ^cc+phrs+++=or
negative ^jj+atrb+++=negative
perception ^nn+nom+++=perception
of ^in++++=of
science ^nn+nom+++=science
in ^in++++=in
subtopic ^nn++++=subtopic
1.1 ^cd++++=1.1
( ^zz++++=(Fig.
fig ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
3.a ^cd++++=3.a).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
