According ^in+cmpx+++=According
to ^in++++=to
Benjamin ^np+++??+=Benjamin
( ^zz++++=(1994),
1994 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
tendency ^nn++++=tendency
to ^to+ncmp+++=to
perceive ^vbi+vprv+++=perceive
only ^rb+down+++=only
previously ^rb+tm+++=previously
recognized ^vbn+vprv++xvbn+=recognized
similarities ^nns+nom+++=similarities
in ^in++++=in
objects ^nns++++=objects
leads ^vbz++++=leads
to ^in++++=to
a ^at++++=a
diminished ^jj+atrb++xvbn+=diminished
quality ^nn+nom+++=quality
of ^in++++=of
experience ^nn+nom+++=experience.
. ^zz++++=EXTRAWORD
In ^in++++=In
" ^zz++++="On
on ^in++++=EXTRAWORD
the ^ati++++=the
Program ^np+++??+=Program
of ^in++++=of
the ^ati++++=the
Coming ^jj+atrb++xvbg+=Coming
Philosophy ^nn++++=Philosophy"
" ^zz++++=EXTRAWORD
( ^zz++++=(Benjamin,
benjamin ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
outlines ^nns++++=outlines
his ^pp$+pp3+++=his
intention ^nn+nom+++=intention
to ^to+ncmp+++=to
develop ^vbi++++=develop
a ^at++++=a
concept ^nn++++=concept
of ^in++++=of
experience ^nn+nom+++=experience
that ^tht+rel+subj++=that
encompasses ^vbz++++=encompasses
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
terms ^nns++++=terms
the ^ati++++=the
" ^zz++++="experience
experience ^nn+nom+++=EXTRAWORD
of ^in++++=of
thought ^nn+++xvbn+=thought."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Benjamin ^np+++??+=Benjamin
characterizes ^vbz++++=characterizes
experience ^nn+nom+++=experience
as ^ql++++=as
being ^jj+jj+aux+xvbg+=being
shaped ^jj+++xvbn+=shaped
less ^rbr++++=less
by ^in++++=by
isolated ^jj+++xvbn+=isolated,
, ^zz++++=EXTRAWORD
consciously ^rb++++=consciously
memorized ^jj+atrb++xvbn+=memorized
data ^nns++++=data
and ^cc++++=and
more ^rbr++++=more
by ^in++++=by
accumulated ^jj+++xvbn+=accumulated,
, ^zz++++=EXTRAWORD
often ^rb++++=often
unconscious ^jj+atrb+++=unconscious
information ^nn+nom+++=information
that ^tht+vcmp+subj++=that
enters ^vbz++++=enters
memory ^nn++++=memory
( ^zz++++=(Benjamin,
benjamin ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
1994 ^cd+date+++=1994,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
103 ^cd++++=103).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
" ^zz++++="Doctrine
doctrine ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Similarities ^nns+nom+++=Similarities,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
a ^at++++=a
text ^nn++++=text
focused ^vbd+++xvbn+=focused
specifically ^rb++++=specifically
on ^in++++=on
mimesis ^nns++++=mimesis,
, ^zz++++=EXTRAWORD
benjamin ^np++++=Benjamin
reiterates ^nns+nom+++=reiterates
this ^dt+dem+++=this
perspective ^nn++++=perspective.
. ^zz++++=EXTRAWORD
