To ^in++++=To
address ^nns+nom+++=address
the ^ati++++=the
issue ^nn++++=issue
of ^in++++=of
omitted ^vprf+++xvbn+=omitted
variable ^jj+atrb+++=variable
bias ^nn++++=bias,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
estimate ^nn+nom+++=estimate
spatial ^jj+atrb+++=spatial
econometric ^nn++++=econometric
models ^nns++++=models
that ^tht+rel+obj++=that
account ^nn++++=account
for ^in++++=for
both ^abx++++=both
direct ^jj+atrb+++=direct
and ^cc+phrs+++=and
indirect ^jj+atrb+++=indirect
effects ^nns++++=effects
by ^in++++=by
including ^in++++=including
relevant ^jj+atrb+++=relevant
amenity ^nn+nom+++=amenity
controls ^nns++++=controls.
. ^zz++++=EXTRAWORD
As ^in++++=As
noted ^nn++++=noted
by ^in++++=by
Can ^md+pos+++=Can
( ^zz++++=(1992)
1992 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Campos ^np+++??+=Campos
and ^cc++++=and
Almeida ^np+++??+=Almeida
( ^zz++++=(2018),
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
decomposition ^nn+nom+++=decomposition
of ^in++++=of
real ^jj+atrb+++=real
estate ^nn++++=estate
prices ^nns++++=prices
reveals ^nns+nom+++=reveals
two ^cd++++=two
distinct ^jj+atrb+++=distinct
effects ^nns++++=effects:
: ^zz++++=EXTRAWORD
the ^ati++++=the
impact ^nn++++=impact
attributable ^jj++++=attributable
to ^in++++=to
the ^ati++++=the
intrinsic ^jj+atrb+++=intrinsic
characteristics ^nns++++=characteristics
of ^in++++=of
the ^ati++++=the
property ^nn++++=property
and ^cc++++=and
the ^ati++++=the
spatial ^jj+atrb+++=spatial
spillover ^jjr+atrb+++=spillover
effect ^nn++++=effect
arising ^vwbg+++xvbg+=arising
from ^in++++=from
the ^ati++++=the
attributes ^nns++++=attributes
of ^in++++=of
neighboring ^jj+atrb+++=neighboring
properties ^nns++++=properties.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
econometric ^jj+atrb+++=econometric
analysis ^nn++++=analysis
focuses ^vbz++++=focuses
on ^in++++=on
the ^ati++++=the
estimation ^nn+nom+++=estimation
and ^cc++++=and
interpretation ^nn+nom+++=interpretation
of ^in++++=of
the ^ati++++=the
global ^jj+atrb+++=global
effect ^nn++++=effect,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
encompasses ^vbz++++=encompasses
both ^abx++++=both
direct ^jj+atrb+++=direct
and ^cc+phrs+++=and
indirect ^jj+atrb+++=indirect
influences ^nns+nom+++=influences
on ^in++++=on
real ^jj+atrb+++=real
estate ^nn++++=estate
prices ^nns++++=prices.
. ^zz++++=EXTRAWORD
