Deppermann ^np+++??+=Deppermann
( ^zz++++=(2011,
2011 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
122 ^cd++++=122)
) ^zz++++=EXTRAWORD
contends ^vbz+vpub+++=contends
that ^tht+vcmp+++=that
same ^ap++++=same-speaker
- ^zz++++=EXTRAWORD
speaker ^nn++++=EXTRAWORD
formulations ^nns+nom+++=formulations,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
involve ^vb++++=involve
reworking ^nvbg+++xvbg+=reworking
a ^at++++=a
previous ^jj+atrb+++=previous
reference ^nn+nom+++=reference
or ^cc++++=or
description ^nn+nom+++=description,
, ^zz++++=EXTRAWORD
serve ^vb++++=serve
functions ^nns+nom+++=functions
such ^abl++++=such
as ^ql++++=as
explicating ^nvbg+++xvbg+=explicating,
, ^zz++++=EXTRAWORD
clarifying ^vbg+++xvbg+=clarifying,
, ^zz++++=EXTRAWORD
specifying ^vbg+++xvbg+=specifying,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
generalizing ^jj+atrb++xvbg+=generalizing
meanings ^nns++++=meanings,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
other ^ap++++=other-speaker
- ^zz++++=EXTRAWORD
speaker ^nn++++=EXTRAWORD
formulations ^nns+nom+++=formulations
primarily ^rb+down+++=primarily
function ^nn+nom+++=function
as ^ql++++=as
displays ^vbz++++=displays
of ^in++++=of
understanding ^xvbg+++xvbg+=understanding
and ^cc++++=and
may ^md+pos+++=may
also ^rb++splt++=also
clarify ^vb++++=clarify
or ^cc++++=or
explicate ^nn+nom+++=explicate
meanings ^nns++++=meanings.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
in ^in++++=in
both ^abx++++=both
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
formulations ^nns+nom+++=formulations
do ^vb+do+aux++=do
not ^xnot++not++=not
constitute ^vb++++=constitute
a ^at++++=a
transparent ^jj+atrb+++=transparent
mechanism ^nn+nom+++=mechanism
for ^in++++=for
rendering ^nn++++=rendering
meanings ^nns++++=meanings
clear ^jj++++=clear.
. ^zz++++=EXTRAWORD
Rather ^rb+cnj+++=Rather,
 ^zz++++=EXTRAWORD
Formulations ^nns+nom+++=formulations
Possess ^nns+nom+++=possess
Both ^abx++++=both
Explicative ^jj+atrb+++=explicative
And ^cc+phrs+++=and
Transformative ^jj+atrb+++=transformative
Dimensions ^nns++++=dimensions.
 ^zz++++=EXTRAWORD
