Among ^in++++=Among
the ^ati++++=the
species ^nns++++=species
identified ^vwbn+++xvbn+=identified
in ^in++++=in
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study,
, ^zz++++=EXTRAWORD
a ^at++++=a
potential ^jj+atrb+++=potential
new ^jj+atrb+++=new
record ^nn++++=record
for ^in++++=for
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
State ^nn++++=State
was ^vbd+bedz+aux++=was
observed ^vpsv++agls+xvbnx+=observed
for ^in++++=for
Combretum ^np+++??+=Combretum
leprosum ^nn+++??+=leprosum
Mart ^np++++=Mart.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
previously ^rb+tm+splt++=previously
documented ^vpsv++agls+xvbnx+=documented
in ^in++++=in
semideciduous ^jj+atrb+++=semideciduous
forests ^nns++++=forests
of ^in++++=of
Minas ^np+++??+=Minas
Gerais ^np+++??+=Gerais
and ^cc++++=and
Esp ^np+++??+=Esp
rito ^nn+++??+=rito
Santo ^np++++=Santo
States ^np++++=States
( ^zz++++=(Flora
flora ^np++++=EXTRAWORD
do ^vb+do+vrb++=do
Brasil ^np+++??+=Brasil
2020 ^cd++++=2020
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Queiroz ^np+++??+=Queiroz
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2021)
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
also ^rb++++=also
reported ^vbd+vpub++xvbn+=reported
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
C ^zz++++=C.
. ^zz++++=EXTRAWORD
leprosum ^nn+++??+=leprosum
seedlings ^nns+nom+++=seedlings
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
study ^nn++++=study
area ^nn++++=area
and ^cc++++=and
provided ^xvbn+++xvbn+=provided
evidence ^nn+nom+++=evidence
supporting ^vwbg+++xvbg+=supporting
the ^ati++++=the
possible ^jj+atrb+++=possible
occurrence ^nn+nom+++=occurrence
of ^in++++=of
this ^dt+dem+++=this
species ^nn++++=species
in ^in++++=in
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
State ^nn++++=State.
. ^zz++++=EXTRAWORD
Continued ^jj+atrb++xvbn+=Continued
floristic ^jj+atrb+++=floristic
surveys ^nns++++=surveys
may ^md+pos+++=may
confirm ^vb+vpub+++=confirm
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
adult ^jj+atrb+++=adult
individuals ^nns+nom+++=individuals
of ^in++++=of
C ^zz++++=C.
. ^zz++++=EXTRAWORD
leprosum ^nn+++??+=leprosum
in ^in++++=in
the ^ati++++=the
region ^nn++++=region,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
highlighting ^vbg+++xvbg+=highlighting
the ^ati++++=the
value ^nn++++=value
of ^in++++=of
seed ^nn++++=seed
bank ^nn++++=bank
studies ^nns++++=studies
as ^in++++=as
a ^at++++=a
tool ^nn++++=tool
for ^in++++=for
documenting ^nn++++=documenting
and ^cc++++=and
understanding ^nn++++=understanding
local ^jj+atrb+++=local
flora ^np++++=flora.
. ^zz++++=EXTRAWORD
