Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
G ^zz++++=G.
. ^zz++++=EXTRAWORD
argentinum ^nn+++??+=argentinum
is ^vbz+bez+aux++=is
distinguished ^vpsv++by+xvbnx+=distinguished
by ^in++++=by
its ^pp$+it+++=its
emergence ^nn+nom+++=emergence
from ^in++++=from
a ^at++++=a
whitish ^jj+atrb+++=whitish
subiculum ^nn+++??+=subiculum
and ^cc++++=and
by ^in++++=by
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
an ^at++++=an
external ^jj+atrb+++=external
surface ^nn++++=surface
composed ^vwbn+++xvbn+=composed
of ^in++++=of
a ^at++++=a
velvety ^jj+atrb+++=velvety
mycelial ^jj+atrb+++=mycelial
layer ^nn++++=layer
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
separable ^jj+pred+++=separable
from ^in++++=from
the ^ati++++=the
underlying ^jj+atrb++xvbg+=underlying
fibrous ^jj+atrb+++=fibrous
tissue ^nn++++=tissue
( ^zz++++=(Zamora
zamora ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
