As ^in++++=As
the ^ati++++=the
specification ^nn+nom+++=specification
incorporating ^vwbg+++xvbg+=incorporating
the ^ati++++=the
quadratic ^jj+atrb+++=quadratic
form ^nn++++=form
of ^in++++=of
distancing ^xvbg+++xvbg+=distancing
does ^vbz+doz+aux++=does
not ^xnot++not++=not
provide ^vb+vsua+++=provide
substantial ^jj+atrb+++=substantial
explanatory ^jj+atrb+++=explanatory
power ^nn++++=power
and ^cc++++=and
generally ^rb+down+++=generally
yields ^vbz++++=yields
statistically ^rb++++=statistically
insignificant ^jj+atrb+++=insignificant
coefficients ^nns++++=coefficients
for ^in++++=for
the ^ati++++=the
associated ^jj+atrb++xvbn+=associated
effects ^nns++++=effects,
, ^zz++++=EXTRAWORD
the ^ati++++=the
models ^nns++++=models
estimated ^vbd+vprv++xvbn+=estimated
using ^vbg+++xvbg+=using
the ^ati++++=the
Slx ^np+++??+=SLX
approach ^nn++++=approach
are ^vb+ber+aux++=are
not ^xnot++not++=not
presented ^vbd+++xvbn+=presented
for ^in++++=for
this ^dt+dem+++=this
specification ^nn+nom+++=specification.
. ^zz++++=EXTRAWORD
The ^ati++++=The
results ^nns++++=results
obtained ^vwbn+++xvbn+=obtained
from ^in++++=from
the ^ati++++=the
Slx ^np+++??+=SLX
estimator ^nn++++=estimator
exhibit ^vb++++=exhibit
overall ^jjb+atrb+++=overall
effect ^nn++++=effect
signs ^nns++++=signs
consistent ^jj++++=consistent
with ^in++++=with
theoretical ^jj+atrb+++=theoretical
expectations ^nns+nom+++=expectations
and ^cc++++=and
are ^vb+ber+vrb++=are
statistically ^rb++++=statistically
significant ^jj+pred+++=significant.
. ^zz++++=EXTRAWORD
Furthermore ^rb+cnj+++=Furthermore,
, ^zz++++=EXTRAWORD
Moran ^np++++=Moran's
's ^$++++=EXTRAWORD
I ^pp1a+pp1+++=I
tests ^nns++++=tests
do ^vb+do+aux++=do
not ^xnot++not++=not
reject ^vb++++=reject
the ^ati++++=the
null ^jj+atrb+++=null
hypothesis ^nn++++=hypothesis
of ^in++++=of
spatial ^jj+atrb+++=spatial
randomness ^nns+nom+++=randomness,
, ^zz++++=EXTRAWORD
as ^in++++=as
shown ^nn++++=shown
in ^in++++=in
table ^nn++++=Table
6 ^zz++++=6,
, ^zz++++=EXTRAWORD
columns ^nns++++=columns
17 ^cd++++=17
22 ^cd++++=22.
. ^zz++++=EXTRAWORD
