While ^cs+sub+++=While
Borges ^np+++??+=Borges
( ^zz++++=(2015)
2015 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
reported ^vbn+vpub++xvbn+=reported
only ^rb+down+++=only
partial ^jj+atrb+++=partial
success ^nns+nom+++=success
in ^in++++=in
the ^ati++++=the
micropropagation ^nn+nom+++=micropropagation
of ^in++++=of
V ^zz++++=V.
. ^zz++++=EXTRAWORD
sincorana ^nn+++??+=sincorana,
, ^zz++++=EXTRAWORD
Neto ^np+++??+=Neto
( ^zz++++=(2009)
2009 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
successfully ^rb++++=successfully
micropropagated ^vwbn+++xvbn+=micropropagated
V ^zz++++=V.
. ^zz++++=EXTRAWORD
squamata ^nn+++??+=squamata.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
individuals ^nns+nom+++=individuals
of ^in++++=of
micropropagated ^vwbn+++xvbn+=micropropagated
V ^zz++++=V.
. ^zz++++=EXTRAWORD
squamata ^nn+++??+=squamata
were ^vbd+bed+aux++=were
subsequently ^rb+tm+splt++=subsequently
planted ^vpsv++agls+xvbnx+=planted
in ^in++++=in
gardens ^nns++++=gardens,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
have ^vb+hv+aux++=have
continued ^vprf+++xvbnx+=continued
to ^to++++=to
grow ^vbi++++=grow
for ^in++++=for
over ^in++++=over
a ^at++++=a
decade ^nn++++=decade
and ^cc++++=and
have ^vb+hv+aux++=have
reached ^vprf+++xvbnx+=reached
approximately ^rb+down+++=approximately
20 ^cd++++=20
cm ^nnu++++=cm
in ^in++++=in
height ^nn++++=height
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
5e ^cd++++=5e;
; ^zz++++=EXTRAWORD
C.e.s ^np+++??+=C.E.S.
. ^zz++++=EXTRAWORD
Silveira ^np+++??+=Silveira,
, ^zz++++=EXTRAWORD
unpublished ^jj+atrb+++=unpublished
data ^nns++++=data).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
results ^nns++++=results
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
the ^ati++++=the
in ^in++++=in
vitro ^nn+++??+=vitro
propagation ^nn+nom+++=propagation
protocol ^nn++++=protocol
for ^in++++=for
Vellozia ^np+++??+=Vellozia
squamata ^nn+++??+=squamata
was ^vbd+bedz+vrb++=was
effective ^jj+pred+++=effective
in ^in++++=in
overcoming ^xvbg+++xvbg+=overcoming
factors ^nns++++=factors
that ^tht+rel+++=that
typically ^rb++++=typically
result ^nn++++=result
in ^in++++=in
high ^jj+atrb+++=high
seedling ^nn+nom+++=seedling
mortality ^nn+nom+++=mortality
when ^wrb+who+++=when
propagation ^nn+nom+++=propagation
is ^vbz+bez+aux++=is
attempted ^vbd+++xvbn+=attempted
via ^in++++=via
seeds ^nns++++=seeds.
. ^zz++++=EXTRAWORD
