Chart ^nn++++=Chart
1 ^zz++++=1
presents ^vbz++++=presents
a ^at++++=a
classification ^nn+nom+++=classification
of ^in++++=of
the ^ati++++=the
effectiveness ^nns+nom+++=effectiveness
of ^in++++=of
capital ^nn++++=capital
flow ^nn++++=flow
management ^nn+nom+++=management
measures ^nns++++=measures
( ^zz++++=(CFMs)
cfms ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
based ^xvbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
selection ^nn+nom+++=selection
of ^in++++=of
papers ^nns++++=papers
analyzed ^vbd+++xvbn+=analyzed
in ^in++++=in
this ^dt+dem+++=this
study ^nn++++=study.
. ^zz++++=EXTRAWORD
For ^in++++=For
the ^ati++++=the
purposes ^nns++++=purposes
of ^in++++=of
this ^dt+dem+++=this
analysis ^nn++++=analysis,
, ^zz++++=EXTRAWORD
Cfms ^np+++??+=CFMs
are ^vb+ber+aux++=are
considered ^vpsv++agls+xvbnx+=considered
to ^to+vcmp+++=to
have ^vbi++vrb++=have
the ^ati++++=the
following ^jj+atrb++xvbg+=following
objectives ^nns++++=objectives:
: ^zz++++=EXTRAWORD
( ^zz++++=(1)
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^to++++=to
extend ^vbi++++=extend
the ^ati++++=the
maturity ^nn+nom+++=maturity
of ^in++++=of
external ^jj+atrb+++=external
liabilities ^nns+nom+++=liabilities,
, ^zz++++=EXTRAWORD
( ^zz++++=(2)
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^to++++=to
enhance ^nn+nom+++=enhance
monetary ^jj+atrb+++=monetary
policy ^nn++++=policy
autonomy ^nn++++=autonomy,
, ^zz++++=EXTRAWORD
( ^zz++++=(3)
3 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^to++++=to
reduce ^vbi++++=reduce
the ^ati++++=the
gross ^jj+atrb+++=gross
volume ^nn++++=volume
of ^in++++=of
capital ^nn++++=capital
flows ^nns++++=flows,
, ^zz++++=EXTRAWORD
( ^zz++++=(4)
4 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^to++++=to
reduce ^vbi++++=reduce
the ^ati++++=the
net ^jjb+atrb+++=net
volume ^nn++++=volume
of ^in++++=of
capital ^nn++++=capital
flows ^nns++++=flows,
, ^zz++++=EXTRAWORD
( ^zz++++=(5)
5 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^to++++=to
mitigate ^nn+nom+++=mitigate
upward ^jjb+atrb+++=upward
pressure ^nn++++=pressure
on ^in++++=on
the ^ati++++=the
nominal ^jj+atrb+++=nominal
exchange ^nn++++=exchange
rate ^nn++++=rate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(6)
6 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^to++++=to
counteract ^vbi++++=counteract
credit ^nn++++=credit
booms ^nns+++??+=booms.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
classification ^nn+nom+++=classification,
, ^zz++++=EXTRAWORD
studies ^nns++++=studies
are ^vb+ber+aux++=are
categorized ^vpsv++agls+xvbnx+=categorized
as ^ql++++=as
demonstrating ^jj+++xvbg+=demonstrating
Null ^np+++??+=Null/Low
effectiveness ^nns+nom+++=effectiveness
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
find ^vb+vprv+++=find
that ^tht+vcmp+++=that
only ^rb+down+++=only
one ^cd1++++=one
or ^cc++++=or
none ^rb++++=none
of ^in++++=of
these ^dt+dem+++=these
objectives ^nns++++=objectives
were ^vbd+bed+aux++=were
achieved ^vpsv++agls+xvbnx+=achieved,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
studies ^nns++++=studies
are ^vb+ber+aux++=are
classified ^vpsv++agls+xvbnx+=classified
as ^ql++++=as
demonstrating ^jj+atrb++xvbg+=demonstrating
Medium ^jjb+atrb+++=Medium/High
effectiveness ^nns+nom+++=effectiveness
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
find ^vb+vprv+++=find
that ^tht+vcmp+++=that
at ^rb++++=at
least ^rb"++++=least
two ^cd++++=two
of ^in++++=of
these ^dt+dem+++=these
objectives ^nns++++=objectives
were ^vbd+bed+aux++=were
met ^vbd+++xvbn+=met.
. ^zz++++=EXTRAWORD
