Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
can ^md+pos+++=can
be ^vb+be+aux++=be
readily ^rb++splt++=readily
distinguished ^vpsv++by+xvbnx+=distinguished
by ^in++++=by
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
a ^at++++=a
persistent ^jj+atrb+++=persistent
membranous ^jj+atrb+++=membranous
exoperidium ^nn+++??+=exoperidium
in ^in++++=in
mature ^jj+atrb+++=mature
specimens ^nns++++=specimens,
, ^zz++++=EXTRAWORD
an ^at++++=an
endoperidium ^nn+++??+=endoperidium
exhibiting ^vwbg+++xvbg+=exhibiting
a ^at++++=a
velvety ^jj+atrb+++=velvety
texture ^nn++++=texture
with ^in++++=with
numerous ^jj+atrb+++=numerous
mycosclereids ^nns+++??+=mycosclereids
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
clearly ^rb++++=clearly
visible ^jj+pred+++=visible
under ^in++++=under
a ^at++++=a
stereomicroscope ^nn+++??+=stereomicroscope,
, ^zz++++=EXTRAWORD
a ^at++++=a
mamiform ^nn+++??+=mamiform
and ^cc++++=and
fimbriated ^jj+atrb++xvbn+=fimbriated
mouth ^nn++++=mouth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
globose ^nn+++??+=globose
basidiospores ^nns+++??+=basidiospores
characterized ^vwbn+++xvbn+=characterized
by ^in++++=by
ridges ^nns++++=ridges
that ^tht+rel+obj++=that
display ^nn++++=display
a ^at++++=a
distinctive ^jj++++=distinctive
cross ^jj++++=cross-linked
- ^zz++++=EXTRAWORD
linked ^vwbn+++xvbn+=EXTRAWORD
to ^in++++=to
sub ^nn++++=sub-crosslinked
- ^zz++++=EXTRAWORD
crosslinked ^jj+atrb+++=EXTRAWORD
morphology ^nn++++=morphology
( ^zz++++=(Campi
campi ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2016a ^cd++++=2016a).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
