Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
The ^ati++++=The
species ^nn++++=species
is ^vbz+bez+aux++=is
characterized ^vpsv++agls+xvbnx+=characterized
morphologically ^rb++++=morphologically
by ^in++++=by
the ^ati++++=the
absence ^nn+nom+++=absence
of ^in++++=of
both ^abx++++=both
internal ^jj+atrb+++=internal
and ^cc+phrs+++=and
external ^jj+atrb+++=external
folds ^nns++++=folds
in ^in++++=in
the ^ati++++=the
peridium ^nn+++??+=peridium.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
immature ^jj+atrb+++=immature
state ^nn++++=state,
, ^zz++++=EXTRAWORD
the ^ati++++=the
entire ^jjb+atrb+++=entire
basidioma ^nn+++??+=basidioma
is ^vbz+bez+aux++=is
covered ^vpsv++by+xvbnx+=covered
by ^in++++=by
hairs ^nns++++=hairs
grouped ^vwbn+++xvbn+=grouped
into ^in++++=into
golden ^jj++++=golden-brown
- ^zz++++=EXTRAWORD
brown ^jj+atrb+++=EXTRAWORD
strands ^nns++++=strands;
; ^zz++++=EXTRAWORD
these ^dt+dem+++=these
hairs ^nns++++=hairs
are ^vb+ber+aux++=are
lost ^vpsv++agls+xvbnx+=lost
as ^ql++++=as
the ^ati++++=the
organism ^nn+nom+++=organism
matures ^nns+++??+=matures,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
a ^at++++=a
smooth ^jj+atrb+++=smooth
peridium ^nn+++??+=peridium
surface ^nn++++=surface
that ^tht+rel+subj++=that
develops ^vbz++++=develops
a ^at++++=a
dark ^jj+atrb+++=dark
coloration ^nn+nom+++=coloration
ranging ^vwbg+++xvbg+=ranging
from ^in++++=from
light ^jj++++=light
brown ^jj++++=brown
to ^in++++=to
gray ^np++++=gray
( ^zz++++=(Maubet
maubet ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
