There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
no ^at++++=no
evidence ^nn+nom+++=evidence
of ^in++++=of
a ^at++++=a
significant ^jj+atrb+++=significant
relationship ^nn+nom+++=relationship
between ^in++++=between
financial ^jj+atrb+++=financial
openness ^nns+nom+++=openness
and ^cc++++=and
higher ^jjr+atrb+++=higher
rates ^nns++++=rates
of ^in++++=of
economic ^jj+atrb+++=economic
growth ^nn++++=growth,
, ^zz++++=EXTRAWORD
as ^in++++=as
reported ^nn++++=reported
by ^in++++=by
Prasad ^np+++??+=Prasad
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2003),
2003 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Kose ^np+++??+=Kose
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2009),
2009 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rodrik ^np++++=Rodrik
and ^cc++++=and
subramanian ^np++++=Subramanian
( ^zz++++=(2009).
2009 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
