Statistical ^jj+atrb+++=Statistical
analysis ^nn++++=analysis
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
using ^vbg+++xvbg+=using
the ^ati++++=the
software ^nn+++??+=software
Past ^jjb++++=PAST
3.0 ^cd++++=3.0
( ^zz++++=(Hammer
hammer ^nn++++=EXTRAWORD
& ^zz++++=&
Harper ^np++++=Harper
2006 ^cd++++=2006).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
total ^jj+atrb+++=total
number ^nn++++=number
of ^in++++=of
species ^nn++++=species,
, ^zz++++=EXTRAWORD
species ^nns++++=species
diversity ^nn+nom+++=diversity
as ^in++++=as
measured ^nn++++=measured
by ^in++++=by
the ^ati++++=the
Shannon ^np+++??+=Shannon-Weaver
- ^zz++++=EXTRAWORD
weaver ^np++++=EXTRAWORD
index ^nn++++=index
( ^zz++++=(H'),
h ^zz++++=EXTRAWORD
'), ^nn+++??+=EXTRAWORD
and ^cc++++=and
species ^nn++++=species
evenness ^nns+nom+++=evenness
as ^in++++=as
indicated ^nn++++=indicated
by ^in++++=by
Pielou ^np++++=Pielou's
's ^$++++=EXTRAWORD
evenness ^nns+nom+++=evenness
index ^nn++++=index
( ^zz++++=(J)
j ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(Krebs
krebs ^nns+++??+=EXTRAWORD
2007 ^cd++++=2007)
) ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
calculated ^vpsv++agls+xvbnx+=calculated.
. ^zz++++=EXTRAWORD
A ^at++++=A
t ^zz++++=t-test
- ^zz++++=EXTRAWORD
test ^nn++++=EXTRAWORD
was ^vbd+bedz+aux++=was
performed ^vpsv++agls+xvbnx+=performed
to ^to++++=to
determine ^vbi++++=determine
whether ^cs+who+++=whether
the ^ati++++=the
H ^zz++++=H'
' ^zz++++=EXTRAWORD
values ^nns++++=values
differed ^vbd+++xvbn+=differed
significantly ^rb++++=significantly
between ^in++++=between
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
with ^in++++=with
statistical ^jj+atrb+++=statistical
significance ^nn+nom+++=significance
set ^vpsv++agls+xvbn+=set
at ^rb++++=at
p ^zz++++=p
< ^zz++++=<
0.05 ^nn++++=0.05.
. ^zz++++=EXTRAWORD
