Second ^rb+cnj+++=Second,
, ^zz++++=EXTRAWORD
the ^ati++++=the
centrality ^nn+nom+++=centrality
of ^in++++=of
a ^at++++=a
cheater ^jjr+atrb+++=cheater
species ^nn++++=species
does ^vbz+doz+aux++=does
not ^xnot++not++=not
alter ^vb++++=alter
the ^ati++++=the
pattern ^nn++++=pattern
of ^in++++=of
trait ^nn++++=trait
disparity ^nn+nom+++=disparity
resulting ^vwbg+++xvbg+=resulting
from ^in++++=from
mutualisms ^nns+nom+++=mutualisms
that ^tht+rel+subj++=that
include ^vb++++=include
cheating ^nvbg+++xvbg+=cheating
interactions ^nns+nom+++=interactions.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
species ^nns++++=species
centrality ^nn+nom+++=centrality
is ^vbz+bez+aux++=is
recognized ^vpsv++agls+xvbnx+=recognized
as ^ql++++=as
a ^at++++=a
key ^jjb+atrb+++=key
metric ^nn++++=metric
for ^in++++=for
identifying ^xvbg+++xvbg+=identifying
influential ^jj+atrb+++=influential
species ^nn++++=species
within ^in++++=within
ecological ^jj+atrb+++=ecological
networks ^nns++++=networks
( ^zz++++=(Mart
mart ^np++++=EXTRAWORD
n ^zz++++=n
Gonz ^np+++??+=Gonz
lez ^nn+++??+=lez
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2010 ^cd++++=2010),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
the ^ati++++=the
sole ^jjb+atrb+++=sole
factor ^nn++++=factor
shaping ^vwbg+++xvbg+=shaping
network ^nn++++=network
structure ^nn++++=structure
and ^cc++++=and
dynamics ^nn++++=dynamics.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
the ^ati++++=the
distribution ^nn+nom+++=distribution
of ^in++++=of
mutualistic ^nn++++=mutualistic
and ^cc++++=and
antagonistic ^jj+atrb+++=antagonistic
interactions ^nns+nom+++=interactions
among ^in++++=among
species ^nn++++=species
within ^in++++=within
a ^at++++=a
network ^nn++++=network
influences ^nns+nom+++=influences
the ^ati++++=the
network ^nn++++=network's
's ^$++++=EXTRAWORD
ability ^nn+nom+++=ability
to ^to+ncmp+++=to
maintain ^vbi+vpub+++=maintain
its ^pp$+it+++=its
structure ^nn++++=structure
under ^in++++=under
perturbations ^nns+nom+++=perturbations
( ^zz++++=(Montesinos-Navarro
montesinos ^nns+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
navarro ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Future ^jjb+atrb+++=Future
research ^nn++++=research
should ^md+nec+++=should
investigate ^nn+nom+++=investigate
how ^wrb+who+++=how
the ^ati++++=the
specific ^jj+atrb+++=specific
positions ^nns+nom+++=positions
of ^in++++=of
cheating ^nn++++=cheating
interactions ^nns+nom+++=interactions
within ^in++++=within
networks ^nns++++=networks
may ^md+pos+++=may
affect ^vb++++=affect
coevolutionary ^nn+nom+++=coevolutionary
dynamics ^nn++++=dynamics.
. ^zz++++=EXTRAWORD
