Following ^jj+++xvbg+=Following
the ^ati++++=the
launch ^nn++++=launch
of ^in++++=of
the ^ati++++=the
Gpb ^np+++??+=GPB
on ^in++++=on
June ^nr++++=June
8 ^zz++++=8,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
workshops ^nns++++=workshops
were ^vbd+bed+aux++=were
made ^vpsv++agls+xvbnx+=made
available ^jj++++=available,
, ^zz++++=EXTRAWORD
allowing ^vbg+++xvbg+=allowing
Brigadiers ^nns+nom++??+=Brigadiers
to ^to++++=to
participate ^nn+nom+++=participate
in ^in++++=in
weekly ^jj+atrb+++=weekly
meetings ^nns++++=meetings
designed ^vbd+++xvbn+=designed
for ^in++++=for
the ^ati++++=the
exchange ^nn++++=exchange
of ^in++++=of
ideas ^nns++++=ideas,
, ^zz++++=EXTRAWORD
engagement ^nn+nom+++=engagement
in ^in++++=in
improvisational ^jj+atrb+++=improvisational
activities ^nns+nom+++=activities,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
play ^nn++++=play
and ^cc++++=and
performance ^nn+nom+++=performance
tools ^nns++++=tools
or ^cc++++=or
social ^jj+atrb+++=social
therapy ^nn++++=therapy
sessions ^nns++++=sessions.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
meetings ^nns++++=meetings
aimed ^vbd+++xvbn+=aimed
to ^to+vcmp+++=to
provide ^vbi+vsua+++=provide
participants ^nns+nom+++=participants
with ^in++++=with
emotional ^jj+atrb+++=emotional
support ^nn++++=support
and ^cc++++=and
personal ^jj+atrb+++=personal
development ^nn+nom+++=development
relevant ^jj++++=relevant
to ^in++++=to
the ^ati++++=the
activities ^nns+nom+++=activities
and ^cc++++=and
initiatives ^nns++++=initiatives
promoted ^vwbn+++xvbn+=promoted
on ^in++++=on
the ^ati++++=the
Gpb ^np+++??+=GPB
website ^nn++++=website.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
meetings ^nns++++=meetings
facilitated ^vwbn+++xvbn+=facilitated
collaboration ^nn+nom+++=collaboration
among ^in++++=among
Brigadiers ^nns+nom++??+=Brigadiers,
, ^zz++++=EXTRAWORD
enabling ^vbg+nom++xvbg+=enabling
them ^pp3o+pp3+++=them
to ^to++++=to
discuss ^vbi++++=discuss
and ^cc++++=and
plan ^nn++++=plan
sessions ^nns++++=sessions
they ^pp3a+pp3+++=they
intended ^vbd+vsua++xvbnx+=intended
to ^to+vcmp+++=to
lead ^vbi++++=lead.
. ^zz++++=EXTRAWORD
In ^in++++=In
one ^cd1++++=one
such ^abl++++=such
meeting ^nvbg+++xvbg+=meeting,
, ^zz++++=EXTRAWORD
two ^cd++++=two
Brigadiers ^nns+nom++??+=Brigadiers
employed ^vbd+++xvbn+=employed
as ^ql++++=as
English ^jj+atrb+++=English
professors ^nns++++=professors
at ^rb++++=at
government ^nn+nom+++=government-owned
- ^zz++++=EXTRAWORD
owned ^xvbn+++xvbn+=EXTRAWORD
colleges ^nns++++=colleges
in ^in++++=in
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo,
, ^zz++++=EXTRAWORD
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
collaborated ^vprf+++xvbn+=collaborated
with ^in++++=with
a ^at++++=a
colleague ^nn++++=colleague
from ^in++++=from
the ^ati++++=the
same ^ap++++=same
institution ^nn+nom+++=institution
to ^to++++=to
organize ^vbi++++=organize
a ^at++++=a
workshop ^nn++++=workshop
titled ^vbd+++xvbn+=titled
" ^zz++++="Global
global ^jj+atrb+++=EXTRAWORD
collaboration ^nn+nom+++=Collaboration:
: ^zz++++=EXTRAWORD
what ^wdt+who+whq++=What
can ^md+pos+++=Can
young ^jj+atrb+++=Young
professionals ^nns+nom+++=Professionals
do ^vb+do+vrb++=Do?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
