Several ^ap++++=Several
researchers ^nns+nom+++=researchers
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Cashion ^np+++??+=Cashion,
, ^zz++++=EXTRAWORD
1985 ^cd+date+++=1985;
; ^zz++++=EXTRAWORD
Harris ^np++++=Harris,
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003)
) ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
examined ^vprf+++xvbnx+=examined
the ^ati++++=the
relationship ^nn+nom+++=relationship
between ^in++++=between
politeness ^nns+nom+++=politeness
and ^cc++++=and
power ^nn++++=power
and ^cc++++=and
have ^vb+hv+aux++=have
reached ^vprf+++xvbnx+=reached
similar ^jj+atrb+++=similar
conclusions ^nns++++=conclusions.
. ^zz++++=EXTRAWORD
Participants ^nns+nom+++=Participants
occupying ^vwbg+++xvbg+=occupying
the ^ati++++=the
most ^ql+emph+++=most
powerful ^jj+atrb+++=powerful
roles ^nns++++=roles
frequently ^rb++++=frequently
employ ^vb++++=employ
politeness ^nns+nom+++=politeness
strategies ^nns+++??+=strategies
to ^to++++=to
mitigate ^nn+nom+++=mitigate
the ^ati++++=the
face ^nn++++=face-threatening
- ^zz++++=EXTRAWORD
threatening ^jj+atrb+++=EXTRAWORD
acts ^nns++++=acts
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
required ^vpsv++agls+xvbnx+=required
to ^to+vcmp+++=to
perform ^vbi++++=perform.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
individuals ^nns+nom+++=individuals
may ^md+pos+++=may
also ^rb++splt++=also
choose ^vb++++=choose
to ^to+vcmp+++=to
forgo ^vbi++++=forgo
politeness ^nns+nom+++=politeness
strategies ^nns+++??+=strategies
when ^wrb+who+++=when
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
necessary ^jj+pred+++=necessary
to ^to+jcmp+++=to
assert ^vbi+vpub+tht0++=assert
their ^pp$+pp3+++=their
authority ^nn+nom+++=authority
explicitly ^rb++++=explicitly.
. ^zz++++=EXTRAWORD
Harris ^np++++=Harris
( ^zz++++=(2003,
2003 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
33 ^cd++++=33)
) ^zz++++=EXTRAWORD
argues ^vbz+vpub+++=argues
that ^tht+vcmp+++=that
negative ^jj+atrb+++=negative
politeness ^nns+nom+++=politeness
features ^nns++++=features
are ^vb+ber+vrb++=are
particularly ^rb++++=particularly
relevant ^jj+pred+++=relevant
in ^in++++=in
institutional ^jj+atrb+++=institutional
contexts ^nns++++=contexts,
, ^zz++++=EXTRAWORD
as ^ql++++=as
these ^dt+dem+++=these
strategies ^nns+++??+=strategies
are ^vb+ber+aux++=are
designed ^vpsv++agls+xvbnx+=designed
to ^to+vcmp+++=to
minimize ^vbi++++=minimize
imposition ^nn+nom+++=imposition
on ^in++++=on
the ^ati++++=the
interlocutor ^nn++++=interlocutor.
. ^zz++++=EXTRAWORD
In ^in++++=In
Cashion ^np+++??+=Cashion
s ^zz++++=s
( ^zz++++=(1985,
1985 ^cd+date+++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
13 ^cd++++=13)
) ^zz++++=EXTRAWORD
study ^nn++++=study,
, ^zz++++=EXTRAWORD
counsels ^nns++++=counsels
predominantly ^rb++++=predominantly
utilized ^vbd+++xvbn+=utilized
negative ^jj+atrb+++=negative
politeness ^nns+nom+++=politeness
features ^nns++++=features,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
positive ^jj+atrb+++=positive
politeness ^nns+nom+++=politeness
strategies ^nns+++??+=strategies,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
address ^nns+nom+++=address
the ^ati++++=the
interlocutor ^nn++++=interlocutor
s ^zz++++=s
desire ^nn++++=desire
for ^in++++=for
approval ^nn+nom+++=approval,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
observed ^vpsv++agls+xvbnx+=observed
infrequently ^rb++++=infrequently.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
during ^in++++=during
cross ^jj++++=cross-examination,
- ^zz++++=EXTRAWORD
examination ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Rampton ^np+++??+=Rampton
employs ^vbz++++=employs
the ^ati++++=the
negative ^jj+atrb+++=negative
politeness ^nns+nom+++=politeness
strategy ^nn++++=strategy
correct ^jj++++=correct
me ^pp1o+pp1+++=me
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
m ^zz++++=m
wrong ^jj++++=wrong
to ^to+jcmp+++=to
avoid ^vbi++++=avoid
imposing ^jj++++=imposing
his ^pp$+pp3+++=his
knowledge ^nn++++=knowledge
on ^in++++=on
the ^ati++++=the
witness ^nns+nom+++=witness.
. ^zz++++=EXTRAWORD
