Latin ^jj+atrb+++=Latin
America ^np++++=America
and ^cc++++=and
the ^ati++++=the
Caribbean ^np+nom++??+=Caribbean
are ^vb+ber+aux++=are
recognized ^vpsv++agls+xvbnx+=recognized
for ^in++++=for
their ^pp$+pp3+++=their
high ^jj+atrb+++=high
levels ^nns++++=levels
of ^in++++=of
biodiversity ^nn+nom+++=biodiversity,
, ^zz++++=EXTRAWORD
containing ^vbg+++xvbg+=containing
approximately ^rb+down+++=approximately
60 ^cd++++=60%
% ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
world ^nn++++=world's
's ^vbz+bez+vrb++0=EXTRAWORD
terrestrial ^jj+atrb+++=terrestrial
species ^nn++++=species,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
a ^at++++=a
diverse ^jj+atrb+++=diverse
array ^nn++++=array
of ^in++++=of
marine ^nn++++=marine
and ^cc++++=and
freshwater ^jjb++++=freshwater
flora ^np++++=flora
and ^cc++++=and
fauna ^nn++++=fauna
( ^zz++++=(UNEP
unep ^nn++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
