Scholz ^np+++??+=Scholz
s ^zz++++=s
statements ^nns+nom+++=statements
on ^in++++=on
foreign ^jj+atrb+++=foreign
policy ^nn++++=policy
indicate ^nn+nom+++=indicate
a ^at++++=a
departure ^nn++++=departure
from ^in++++=from
Merkel ^np+++??+=Merkel
s ^zz++++=s
pragmatic ^jj+atrb+++=pragmatic
approach ^nn++++=approach,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
defined ^vpsv++by+xvbnx+=defined
by ^in++++=by
a ^at++++=a
strong ^jj+atrb+++=strong
commitment ^nn+nom+++=commitment
to ^to+ncmp+++=to
the ^ati++++=the
Minsk ^np+++??+=Minsk
negotiations ^nns+nom+++=negotiations,
, ^zz++++=EXTRAWORD
participation ^nn+nom+++=participation
in ^in++++=in
the ^ati++++=the
Normandy ^np++++=Normandy
Format ^nn++++=Format,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
regular ^jj+atrb+++=regular
meetings ^nns++++=meetings
between ^in++++=between
Chancellor ^npt++++=Chancellor
Merkel ^np+++??+=Merkel
and ^cc++++=and
Russian ^jj+atrb+++=Russian
President ^nn++++=President
Vladimir ^np+++??+=Vladimir
Putin ^np+++??+=Putin
to ^to++++=to
sustain ^vbi++++=sustain
dialogue ^nn++++=dialogue
with ^in++++=with
Russia ^np++++=Russia
( ^zz++++=(R
r ^zz++++=EXTRAWORD
cz ^nn+++??+=cz,
, ^zz++++=EXTRAWORD
2022 ^cd++++=2022,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
3 ^zz++++=3).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
new ^jj+atrb+++=new
coalition ^nn+nom+++=coalition
government ^nn+nom+++=government
is ^vbz+bez+aux++=is
anticipated ^vpsv++agls+xvbnx+=anticipated
to ^to++++=to
adopt ^vbi++++=adopt
a ^at++++=a
more ^rbr++++=more
assertive ^jj+atrb+++=assertive
stance ^nn++++=stance
that ^tht+rel+obj++=that
aligns ^nns+++??+=aligns
with ^in++++=with
United ^np++++=United
States ^nns++++=States
policy ^nn++++=policy
preferences ^nns+nom+++=preferences,
, ^zz++++=EXTRAWORD
viewing ^vbg+++xvbg+=viewing
Merkel ^np+++??+=Merkel
s ^zz++++=s
approach ^nn++++=approach
as ^ql++++=as
naive ^jj++++=naive
and ^cc+phrs+++=and
comparable ^jj++++=comparable
to ^in++++=to
the ^ati++++=the
appeasement ^nn+nom+++=appeasement
strategies ^nns+++??+=strategies
of ^in++++=of
1938 ^cd+date+++=1938
( ^zz++++=(Ripsman
ripsman ^jj+atrb+++=EXTRAWORD
& ^zz++++=&
levy ^nn++++=Levy,
, ^zz++++=EXTRAWORD
2008 ^cd++++=2008;
; ^zz++++=EXTRAWORD
latham ^np++++=Latham,
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
