When ^wrb+who+++=When
analyzing ^nvbg+++xvbg+=analyzing
the ^ati++++=the
results ^nns++++=results
using ^vwbg+++xvbg+=using
the ^ati++++=the
level ^nn++++=level-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
functional ^jj+atrb+++=functional
form ^nn++++=form
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
6 ^zz++++=6,
, ^zz++++=EXTRAWORD
columns ^nns++++=columns
20 ^cd++++=20-22),
- ^zz++++=EXTRAWORD
22 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
observed ^vpsv++agls+xvbnx+=observed
that ^tht+vcmp+++=that
the ^ati++++=the
same ^ap++++=same
areas ^nns++++=areas
identified ^vwbn+++xvbn+=identified
as ^ql++++=as
Sbd ^np+++??+=SBD
are ^vb+ber+vrb++=are
consistent ^jj+pred+++=consistent
with ^in++++=with
those ^dt+dem+++=those
identified ^jj+++xvbn+=identified
in ^in++++=in
the ^ati++++=the
econometric ^jj+atrb+++=econometric
model ^nn++++=model
estimated ^vbd+++xvbn+=estimated
with ^in++++=with
the ^ati++++=the
log ^&fo++++=log-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
functional ^jj+atrb+++=functional
form ^nn++++=form.
. ^zz++++=EXTRAWORD
The ^ati++++=The
only ^ap+down+++=only
exception ^nn+nom+++=exception
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
the ^ati++++=the
Pinheiros ^np+++??+=Pinheiros
area ^nn++++=area
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
statistically ^rb++++=statistically
significant ^jj++++=significant
in ^in++++=in
the ^ati++++=the
level ^nn++++=level-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
specification ^nn+nom+++=specification,
, ^zz++++=EXTRAWORD
whereas ^cs+sub+++=whereas
the ^ati++++=the
morumbi ^np++++=Morumbi
area ^nn++++=area
is ^vbz+bez+vrb++=is
significant ^jj+pred+++=significant.
. ^zz++++=EXTRAWORD
