Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
Cyathus ^np+++??+=Cyathus
setosus ^nns+++??+=setosus
is ^vbz+bez+aux++=is
distinguished ^vpsv++by+xvbnx+=distinguished
by ^in++++=by
a ^at++++=a
conical ^jj+atrb+++=conical
peridium ^nn+++??+=peridium
with ^in++++=with
an ^at++++=an
intense ^jj+atrb+++=intense
dark ^jj+atrb+++=dark
brown ^jj+atrb+++=brown
coloration ^nn+nom+++=coloration,
, ^zz++++=EXTRAWORD
a ^at++++=a
smooth ^jj+atrb+++=smooth
external ^jj+atrb+++=external
surface ^nn++++=surface,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
slightly ^rb+down+++=slightly
plicated ^jj+atrb++xvbn+=plicated
internal ^jj+atrb+++=internal
surface ^nn++++=surface.
. ^zz++++=EXTRAWORD
The ^ati++++=The
species ^nn++++=species
possesses ^nns+nom+++=possesses
dark ^jj+atrb+++=dark,
, ^zz++++=EXTRAWORD
conspicuous ^jj+atrb+++=conspicuous
setae ^nn+++??+=setae
measuring ^vwbg+++xvbg+=measuring
0.5 ^nn+++??+=0.5
1 ^zz++++=1
mm ^nnu++++=mm
in ^in++++=in
length ^nn++++=length,
, ^zz++++=EXTRAWORD
large ^jj+atrb+++=large
peridioles ^nns+++??+=peridioles
lacking ^vwbg+++xvbg+=lacking
a ^at++++=a
tunic ^nn++++=tunic,
, ^zz++++=EXTRAWORD
a ^at++++=a
double ^jj+atrb+++=double
cortex ^nn++++=cortex,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
small ^jj+atrb+++=small
subiculum ^nn+++??+=subiculum
( ^zz++++=(Brodie
brodie ^nn+++??+=EXTRAWORD
1967 ^cd+date+++=1967;
; ^zz++++=EXTRAWORD
trierveiler ^np+nom+++=Trierveiler-Pereira
- ^zz++++=EXTRAWORD
pereira ^nn++++=EXTRAWORD
& ^zz++++=&
baseia ^np++++=Baseia
2013 ^cd++++=2013).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
