Among ^in++++=Among
the ^ati++++=the
studies ^nns++++=studies
examining ^vwbg+++xvbg+=examining
tele ^nn+++??+=tele-workability
- ^zz++++=EXTRAWORD
workability ^nn+nom+++=EXTRAWORD
in ^in++++=in
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
the ^ati++++=the
reports ^nn++++=reports
produced ^vwbn+++xvbn+=produced
by ^in++++=by
researchers ^nns+nom+++=researchers
at ^in++++=at
the ^ati++++=the
Institute ^nn++++=Institute
of ^in++++=of
Applied ^jj+atrb++xvbn+=Applied
Economic ^jj+atrb+++=Economic
Research ^nn++++=Research
( ^zz++++=(IPEA)
ipea ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
particularly ^rb++++=particularly
noteworthy ^jj+pred+++=noteworthy.
. ^zz++++=EXTRAWORD
Analyzing ^np+++??+=Analyzing
data ^nns++++=data
collected ^vwbn+++xvbn+=collected
between ^in++++=between
May ^md+pos+++=May
and ^cc++++=and
November ^nr+nom+++=November
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
G ^zz++++=G
es ^&fw++++=es
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2021)
2021 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
determined ^vbd+++xvbn+=determined
that ^tht+vcmp+++=that
the ^ati++++=the
remote ^jj+atrb+++=remote
workforce ^nn+++??+=workforce
primarily ^rb+down+++=primarily
consisted ^vbd+++xvbn+=consisted
of ^in++++=of
formal ^jj++++=formal-sector
- ^zz++++=EXTRAWORD
sector ^nn++++=EXTRAWORD
employees ^nns+nom+++=employees
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
completed ^vprf+++xvbnx+=completed
higher ^jjr+atrb+++=higher
education ^nn+nom+++=education,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
between ^in++++=between
30 ^cd++++=30
and ^cc++++=and
39 ^cd++++=39
years ^nns++++=years
old ^jj++++=old,
, ^zz++++=EXTRAWORD
female ^nn++++=female,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
white ^jj++++=white.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
note ^vbi+vprv+++=note
that ^tht+vcmp+++=that
these ^dt+dem+++=these
findings ^nns++++=findings
are ^vb+ber+aux++=are
influenced ^vpsv++by+xvbnx+=influenced
by ^in++++=by
the ^ati++++=the
proportional ^jj+atrb+++=proportional
representation ^nn+nom+++=representation
of ^in++++=of
each ^dt++++=each
demographic ^jj+atrb+++=demographic
group ^nn++++=group
within ^in++++=within
the ^ati++++=the
overall ^jjb+atrb+++=overall
workforce ^nn++++=workforce.
. ^zz++++=EXTRAWORD
