Soil ^nn++++=Soil
penetration ^nn+nom+++=penetration
resistance ^nn+nom+++=resistance
was ^vbd+bedz+aux++=was
measured ^vpsv++agls+xvbnx+=measured
ten ^cd++++=ten
times ^nns++++=times
along ^in++++=along
the ^ati++++=the
previously ^rb+tm+++=previously
described ^vbd+++xvbn+=described
linear ^jj+atrb+++=linear
transects ^nns+++??+=transects
( ^zz++++=(Figure
figure ^nn++++=EXTRAWORD
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Four ^cd++++=Four
measurements ^nns+nom+++=measurements
were ^vbd+bed+aux++=were
selected ^vpsv++agls+xvbnx+=selected
for ^in++++=for
analysis ^nn++++=analysis:
: ^zz++++=EXTRAWORD
the ^ati++++=the
first ^od++++=first
measurement ^nn+nom+++=measurement,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
reflected ^vbd+vprv++xvbn+=reflected
the ^ati++++=the
inherent ^jj+atrb+++=inherent
weight ^nn++++=weight
of ^in++++=of
the ^ati++++=the
equipment ^nn+nom+++=equipment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
three ^cd++++=three
subsequent ^jj+atrb+++=subsequent
measurements ^nns+nom+++=measurements,
, ^zz++++=EXTRAWORD
each ^dt++++=each
resulting ^jj+++xvbg+=resulting
from ^in++++=from
the ^ati++++=the
impact ^nn++++=impact
of ^in++++=of
a ^at++++=a
standard ^nn++++=standard
2 ^zz++++=2
kg ^nnu++++=kg
weight ^nn++++=weight
dropped ^vbd+++xvbn+=dropped
onto ^in++++=onto
the ^ati++++=the
soil ^nn++++=soil.
. ^zz++++=EXTRAWORD
To ^to++++=To
reduce ^vbi++++=reduce
the ^ati++++=the
influence ^nn+nom+++=influence
of ^in++++=of
soil ^nn++++=soil
moisture ^nn++++=moisture
on ^in++++=on
penetration ^nn+nom+++=penetration
resistance ^nn+nom+++=resistance,
, ^zz++++=EXTRAWORD
all ^abn++++=all
measurements ^nns+nom+++=measurements
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted
during ^in++++=during
the ^ati++++=the
dry ^jj+atrb+++=dry
season ^nn++++=season
in ^in++++=in
August ^nr++++=August,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
soil ^nn++++=soil
moisture ^nn++++=moisture
is ^vbz+bez+vrb++=is
typically ^rb++++=typically
at ^in++++=at
its ^pp$+it+++=its
lowest ^jjt++++=lowest
( ^zz++++=(Oliveira
oliveira ^nn++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2005 ^cd++++=2005).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
